time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002668,0.0829,-0.2052,-0.1030,0.244
0.003300,0.0790,-0.1742,-0.0929,0.213
0.003755,0.1158,-0.1669,-0.0852,0.220
0.008923,0.1193,-0.1219,-0.0491,0.177
0.013563,0.1326,-0.0820,0.0010,0.156
0.018161,0.1531,-0.0522,-0.0038,0.162
0.031358,0.1450,-0.0348,0.0199,0.150
0.032051,0.1393,-0.0273,0.0387,0.147
0.033167,0.1194,-0.0391,0.0432,0.133
0.037896,0.1450,-0.0272,0.0192,0.149
0.042589,0.1514,-0.0677,-0.0140,0.166
0.050333,0.1295,-0.0628,-0.0541,0.154
0.054155,0.0982,-0.0554,-0.0797,0.138
0.059546,0.0789,-0.0335,-0.1122,0.141
0.062054,0.0693,-0.0374,-0.1540,0.173
0.067138,0.0597,-0.0336,-0.1719,0.185
0.072756,0.0621,-0.0318,-0.1801,0.193
0.076934,0.0858,-0.0460,-0.1694,0.195
0.081476,0.0736,-0.0550,-0.1399,0.167
0.086164,0.0851,-0.0706,-0.1036,0.152
0.090849,0.0611,-0.0647,-0.0320,0.095
0.095919,0.0659,-0.0875,-0.0036,0.110
0.100611,0.0565,-0.0677,0.0625,0.108
0.113592,0.0473,-0.0582,0.1187,0.140
0.114224,0.0359,-0.0636,0.1674,0.183
0.118300,0.0223,-0.0577,0.1874,0.197
0.120002,0.0233,-0.0644,0.1859,0.198
0.125134,0.0150,-0.0620,0.1680,0.180
0.135424,0.0234,-0.0581,0.1741,0.185
0.135924,0.0296,-0.0570,0.1327,0.147
0.140372,0.0431,-0.0372,0.1084,0.122
0.144057,0.0351,-0.0369,0.1009,0.113
0.149197,0.0627,-0.0532,0.0816,0.116
0.154059,0.0355,-0.0409,0.0602,0.081
0.158736,0.0370,-0.0168,0.0460,0.061
0.163918,0.0478,-0.0046,0.0152,0.050
0.168563,0.0371,-0.0303,-0.0081,0.049
0.173309,0.0312,-0.0011,-0.0314,0.044
0.178177,0.0301,0.0090,-0.0568,0.065
0.183241,0.0408,0.0240,-0.0772,0.091
0.188737,0.0491,0.0272,-0.0952,0.111
0.192658,0.0430,0.0379,-0.1250,0.138
0.197614,0.0130,0.0562,-0.1855,0.194
0.202502,-0.0095,0.0464,-0.2123,0.218
0.207319,-0.0129,0.0397,-0.2200,0.224
0.212281,-0.0400,0.0382,-0.1993,0.207
0.216375,-0.0314,0.0348,-0.1812,0.187
0.231572,-0.0537,0.0389,-0.1206,0.138
0.232487,-0.0520,0.0193,-0.0771,0.095
0.233074,-0.0856,0.0354,-0.0386,0.100
0.236176,-0.0950,0.0534,0.0233,0.111
0.241467,-0.0995,0.0686,0.1037,0.159
