time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004370,0.3586,0.0906,0.0764,0.378
0.005352,0.3093,0.1426,-0.4327,0.551
0.006001,0.2709,0.1309,-0.8456,0.898
0.006667,0.2129,0.1111,-1.1625,1.187
0.009279,0.0975,0.1218,-1.3451,1.354
0.020199,-0.0487,0.1629,-1.3889,1.399
0.023268,-0.2042,0.2172,-1.3180,1.351
0.023904,-0.2807,0.2436,-1.1420,1.201
0.029272,-0.3337,0.2413,-0.9088,0.998
0.033563,-0.3634,0.2076,-0.6210,0.749
0.038188,-0.3681,0.1798,-0.3072,0.512
0.043104,-0.3861,0.1569,0.0110,0.417
0.048230,-0.3867,0.1359,0.2883,0.501
0.052822,-0.3513,0.0945,0.5557,0.664
0.057745,-0.3140,0.0490,0.7989,0.860
0.062637,-0.3418,0.0850,0.9151,0.981
0.067660,-0.5165,0.2265,0.9094,1.070
0.072219,-0.4444,0.0598,1.0493,1.141
0.077257,-0.2452,-0.1541,1.0672,1.106
0.086542,-0.1504,-0.1907,0.9321,0.963
0.087666,-0.2359,-0.0882,0.7589,0.800
0.091764,-0.3441,0.0197,0.6528,0.738
0.096374,-0.3630,0.0618,0.5779,0.685
0.101941,-0.3453,0.0820,0.4553,0.577
0.106521,-0.3361,0.0446,0.3160,0.463
0.112166,-0.3062,0.0266,0.1553,0.344
0.115830,-0.2813,0.0519,-0.0003,0.286
0.121079,-0.2370,0.0513,-0.0841,0.257
0.125585,-0.2140,0.0634,-0.1271,0.257
0.130717,-0.1952,0.0692,-0.1820,0.276
0.135478,-0.1541,0.0664,-0.2082,0.267
0.140070,-0.1409,0.0552,-0.2152,0.263
0.145712,-0.1434,0.0117,-0.1911,0.239
0.149769,-0.1327,0.0122,-0.1072,0.171
0.154661,-0.1424,-0.0008,-0.0139,0.143
0.159355,-0.1152,-0.0228,0.0912,0.149
0.164518,-0.1132,-0.0423,0.2106,0.243
0.169129,-0.1316,-0.0258,0.3227,0.350
0.173947,-0.1539,-0.0216,0.4347,0.462
0.188589,-0.1635,-0.0181,0.5323,0.557
0.189690,-0.1488,-0.0464,0.6202,0.639
0.190301,-0.1218,-0.0756,0.6555,0.671
0.193469,-0.1092,-0.0773,0.6477,0.661
0.198269,-0.0896,-0.0801,0.6327,0.644
0.203473,-0.0821,-0.0983,0.5963,0.610
0.208122,-0.0393,-0.0815,0.5193,0.527
0.212628,-0.0162,-0.0441,0.3994,0.402
0.217659,0.0467,-0.0646,0.3060,0.316
0.223020,0.1017,-0.0231,0.1696,0.199
0.227875,0.1344,-0.0270,0.0238,0.139
0.232437,0.1689,0.0003,-0.0837,0.188
0.237032,0.2026,0.0209,-0.1575,0.257
0.242052,0.2261,0.0420,-0.1954,0.302
0.246780,0.2491,0.0422,-0.2501,0.356
0.251817,0.2503,0.0335,-0.2808,0.378
0.256329,0.2393,0.0300,-0.2804,0.370
0.270998,0.2021,0.0391,-0.2776,0.346
0.272190,0.1817,0.0319,-0.2653,0.323
0.272820,0.1093,0.0204,-0.2506,0.274
0.275889,0.0923,0.0305,-0.2287,0.249
0.280822,0.0304,0.0576,-0.1830,0.194
0.286264,0.0192,0.0608,-0.1397,0.154
0.290311,0.0205,0.0281,-0.1418,0.146
0.295360,0.0198,0.0289,-0.1320,0.137
0.300359,0.0148,-0.0088,-0.1389,0.140
0.304797,0.0127,-0.0250,-0.1410,0.144
0.310853,0.0156,-0.0054,-0.1502,0.151
0.314502,-0.0199,0.0236,-0.1355,0.139
0.319536,-0.0461,0.0190,-0.1185,0.129
0.324577,-0.0653,0.0263,-0.1325,0.150
0.329886,-0.0681,0.0143,-0.1466,0.162
0.333933,-0.0618,0.0189,-0.1630,0.175
0.339040,-0.0606,0.0066,-0.2105,0.219
0.344418,-0.0433,-0.0081,-0.2388,0.243
0.349968,-0.0529,-0.0059,-0.2695,0.275
0.353617,-0.0535,-0.0107,-0.2882,0.293
0.358273,-0.0570,0.0041,-0.3213,0.326
0.363243,-0.0682,-0.0119,-0.3377,0.345
0.367989,-0.0557,0.0061,-0.3468,0.351
0.372626,-0.0409,-0.0018,-0.3608,0.363
0.386677,-0.0478,0.0051,-0.3317,0.335
