time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002032,0.7756,0.2175,-0.9224,1.225
0.005535,0.5569,0.1351,-0.9957,1.149
0.010221,0.2530,0.0563,-1.0355,1.067
0.015296,-0.0969,0.0001,-1.0777,1.082
0.020206,-0.2979,-0.0600,-0.9823,1.028
0.024773,-0.3703,-0.0863,-0.7812,0.869
0.030436,-0.3650,-0.0963,-0.4729,0.605
0.035123,-0.2572,-0.0910,-0.1270,0.301
0.040507,-0.1077,-0.0835,0.3086,0.337
0.044887,0.0771,-0.0700,0.7215,0.729
0.049260,0.2249,-0.0349,1.0552,1.079
0.053816,0.3113,0.0211,1.2653,1.303
0.058882,0.2765,0.0477,1.3362,1.365
0.063770,0.2371,0.1114,1.3332,1.359
0.068471,0.2018,0.1489,1.2897,1.314
0.073174,0.2120,0.1501,1.1963,1.224
0.079020,0.1942,0.1369,1.0912,1.117
0.083128,0.1921,0.1334,0.9528,0.981
0.087741,0.1513,0.1379,0.8098,0.835
0.092714,0.0625,0.1960,0.6910,0.721
0.097703,-0.0263,0.2010,0.5627,0.598
0.102389,-0.0577,0.2320,0.4466,0.507
0.107302,-0.0462,0.2227,0.3594,0.425
0.112131,0.0200,0.2188,0.2794,0.355
0.117090,0.1075,0.2370,0.2115,0.335
0.121876,0.1972,0.2655,0.1246,0.353
0.128907,0.2534,0.3160,0.0330,0.406
0.131600,0.2905,0.3502,0.0492,0.458
0.136519,0.3295,0.3728,0.1083,0.509
0.141124,0.3631,0.3883,0.1722,0.559
0.145631,0.3722,0.4133,0.2002,0.591
0.151174,0.3713,0.4093,0.2234,0.596
0.155842,0.3533,0.3691,0.2346,0.562
0.160476,0.3206,0.3883,0.2841,0.578
0.165657,0.3474,0.3616,0.3240,0.597
0.169952,0.2926,0.3605,0.3448,0.578
0.175221,0.2420,0.3539,0.3894,0.579
0.180229,0.1859,0.3467,0.4197,0.575
0.184734,0.1409,0.3338,0.4476,0.576
0.191956,0.1478,0.3248,0.4277,0.557
0.195074,0.1636,0.2841,0.4055,0.521
0.200298,0.1429,0.2571,0.3786,0.479
0.204333,0.1503,0.2510,0.3134,0.429
0.209285,0.0978,0.2157,0.2030,0.312
0.214415,0.0954,0.2281,0.1118,0.271
0.219085,0.0926,0.1949,0.0327,0.218
0.223767,0.1351,0.1857,-0.0224,0.231
0.232179,0.1916,0.1837,-0.0798,0.277
0.233562,0.2526,0.2010,-0.1203,0.345
0.238326,0.2965,0.2326,-0.1250,0.397
0.246258,0.3043,0.2714,-0.1535,0.436
0.248115,0.2904,0.3032,-0.1701,0.453
0.253112,0.2979,0.2826,-0.2009,0.457
0.257524,0.2743,0.2599,-0.2246,0.440
0.262496,0.2482,0.2568,-0.2434,0.432
0.267470,0.2078,0.2518,-0.2790,0.429
0.272240,0.1865,0.2451,-0.3312,0.452
0.277748,0.1917,0.2368,-0.3786,0.486
0.281980,0.2260,0.2675,-0.3781,0.515
0.286887,0.2700,0.2225,-0.3490,0.494
0.291629,0.3238,0.2355,-0.2937,0.496
0.296558,0.3514,0.1940,-0.2240,0.460
0.301277,0.4006,0.2103,-0.1904,0.491
0.306091,0.4214,0.1599,-0.1400,0.472
0.313555,0.4397,0.1313,-0.0802,0.466
0.321984,0.4073,0.1351,-0.0037,0.429
0.322685,0.3296,0.1175,0.0675,0.356
0.325345,0.2498,0.1164,0.1191,0.300
0.334073,0.1630,0.0912,0.1608,0.246
0.335349,0.0788,0.0445,0.1760,0.198
0.339958,0.0757,0.0193,0.1722,0.189
0.344950,0.0606,0.0011,0.1281,0.142
0.349733,0.0622,0.0064,0.1009,0.119
0.354698,0.0778,0.0280,0.0954,0.126
0.359313,0.1216,0.0515,0.0994,0.165
0.364245,0.1720,0.0839,0.0654,0.202
0.369848,0.2363,0.0990,0.0341,0.258
0.373919,0.3264,0.1349,0.0054,0.353
0.378930,0.4327,0.1726,-0.0421,0.468
0.383798,0.5504,0.1764,-0.0654,0.582
0.388610,0.6793,0.2038,-0.0269,0.710
0.394008,0.8072,0.2330,0.0090,0.840
0.398305,0.8370,0.3137,0.0635,0.896
0.403029,0.8665,0.3624,0.1698,0.954
0.407939,0.9472,0.4789,0.2824,1.098
0.413089,0.8766,0.5558,0.2825,1.076
0.417692,0.6342,0.6149,0.2781,0.926
0.422482,0.2113,0.6379,0.0934,0.678
0.429963,-0.2860,0.5476,-0.2059,0.651
0.432443,-0.6929,0.3645,-0.5430,0.953
0.437960,-0.9447,0.0664,-0.8631,1.281
0.442019,-0.9132,-0.2217,-1.1260,1.467
0.447559,-0.8895,-0.3691,-1.2588,1.585
0.451218,-0.7499,-0.4223,-1.2151,1.489
0.456316,-0.4078,-0.4563,-0.8302,1.031
0.461162,-0.0922,-0.0710,-0.6811,0.691
0.466308,-0.1121,0.2334,-0.3317,0.421
0.470989,-0.1074,0.3310,0.0552,0.352
0.475595,-0.0314,0.2467,0.2323,0.340
0.480609,0.0012,0.0932,0.2657,0.282
0.485821,0.0238,-0.0391,0.2964,0.300
0.490085,0.0527,-0.1126,0.3460,0.368
0.495184,0.0256,-0.0878,0.4355,0.445
0.500129,-0.0337,-0.0177,0.5268,0.528
0.504924,-0.1040,0.1067,0.5961,0.614
0.512932,-0.1736,0.1782,0.5534,0.607
0.515015,-0.2041,0.1903,0.4589,0.537
0.519374,-0.2170,0.1465,0.3417,0.430
0.524208,-0.1529,0.1068,0.2041,0.276
0.529218,-0.1355,0.0576,0.0606,0.159
0.533720,-0.1143,0.0682,-0.1053,0.170
0.538900,-0.1153,0.0721,-0.2319,0.269
0.543699,-0.1333,0.0865,-0.2885,0.329
0.548434,-0.1591,0.1160,-0.2759,0.339
0.553126,-0.1406,0.2010,-0.1921,0.312
0.558134,-0.1198,0.2957,-0.2537,0.408
0.563205,-0.1370,0.2604,-0.1156,0.316
0.567875,-0.2255,0.1980,0.0713,0.308
0.572777,-0.2916,0.2391,0.0976,0.389
0.577498,-0.3229,0.2758,0.0904,0.434
0.583183,-0.3079,0.2916,0.2279,0.481
0.587372,-0.3302,0.2576,0.4330,0.602
0.592025,-0.3158,0.2571,0.5629,0.695
0.596827,-0.3002,0.2397,0.5871,0.702
0.601964,-0.2715,0.2244,0.5732,0.673
0.606568,-0.2603,0.2351,0.5118,0.620
0.620196,-0.2544,0.2502,0.4579,0.581
0.621386,-0.2443,0.2911,0.3640,0.526
0.621978,-0.1871,0.3031,0.2850,0.456
0.626314,-0.0926,0.3128,0.1638,0.365
0.636430,-0.0085,0.3063,-0.0254,0.307
0.636997,0.0247,0.2912,-0.1823,0.344
0.640564,-0.0188,0.3318,-0.3142,0.457
0.650002,-0.0439,0.3328,-0.4072,0.528
0.653194,-0.1012,0.3564,-0.4568,0.588
0.654850,-0.1578,0.3548,-0.4515,0.595
0.660105,-0.2473,0.3706,-0.4153,0.609
0.664958,-0.2964,0.3584,-0.3580,0.587
0.669431,-0.3292,0.3442,-0.3272,0.578
0.674508,-0.3675,0.3493,-0.2872,0.583
0.679434,-0.4186,0.3517,-0.2142,0.587
0.684312,-0.5159,0.4036,-0.1512,0.672
0.688987,-0.5927,0.4259,-0.1147,0.739
0.693707,-0.6539,0.4356,-0.0546,0.788
0.698955,-0.6829,0.4705,-0.0306,0.830
0.703578,-0.6846,0.4806,-0.0020,0.836
0.708316,-0.7132,0.5111,-0.0162,0.878
0.713141,-0.7563,0.5073,-0.0351,0.911
0.718285,-0.7662,0.5100,-0.0703,0.923
0.723036,-0.7739,0.4980,-0.1005,0.926
0.728709,-0.7580,0.5049,-0.1589,0.925
0.734570,-0.7255,0.4738,-0.2477,0.901
0.737471,-0.6905,0.4765,-0.3500,0.909
0.752748,-0.6745,0.4964,-0.4088,0.932
0.753711,-0.6343,0.5334,-0.4576,0.947
0.754310,-0.6151,0.5163,-0.5132,0.953
0.757042,-0.5931,0.5146,-0.5161,0.940
0.761941,-0.5872,0.5185,-0.5215,0.941
0.766540,-0.5809,0.5092,-0.5126,0.927
0.771391,-0.5981,0.4937,-0.4730,0.908
0.776328,-0.6291,0.4864,-0.3815,0.882
0.781739,-0.6787,0.4511,-0.2481,0.852
0.785795,-0.7018,0.4139,-0.1348,0.826
0.792164,-0.6916,0.3791,-0.0010,0.789
0.795948,-0.6701,0.3417,0.1079,0.760
0.800454,-0.6540,0.3371,0.1994,0.762
0.805418,-0.6151,0.3200,0.2664,0.743
0.809617,-0.6007,0.3118,0.2665,0.727
0.815130,-0.5747,0.3361,0.2191,0.701
0.819936,-0.5373,0.3217,0.2101,0.661
0.824501,-0.4835,0.3400,0.1466,0.609
0.833550,-0.4301,0.3555,0.0812,0.564
0.834733,-0.3959,0.3493,0.0045,0.528
0.839221,-0.3808,0.3646,-0.0406,0.529
0.843924,-0.3512,0.3608,-0.0950,0.512
0.852330,-0.3096,0.3667,-0.1536,0.504
0.860617,-0.2465,0.3514,-0.1856,0.468
0.861296,-0.2071,0.3460,-0.1605,0.434
0.863549,-0.1844,0.3241,-0.1379,0.398
0.868114,-0.1687,0.3119,-0.0989,0.368
0.873027,-0.1622,0.2878,-0.0627,0.336
0.878532,-0.1960,0.3062,-0.0125,0.364
0.882831,-0.2528,0.3169,-0.0149,0.406
0.887577,-0.2732,0.3270,-0.0363,0.428
0.892731,-0.2715,0.3127,-0.1121,0.429
0.897366,-0.2978,0.3004,-0.1516,0.449
0.902153,-0.3021,0.2664,-0.2170,0.458
0.907050,-0.2988,0.2775,-0.2889,0.500
0.911939,-0.2924,0.2431,-0.4148,0.563
0.916692,-0.3066,0.2513,-0.5206,0.654
0.921705,-0.2654,0.2640,-0.6161,0.721
0.928560,-0.2381,0.2527,-0.7393,0.817
0.933384,-0.2363,0.2274,-0.8805,0.940
0.936175,-0.1840,0.2381,-1.0086,1.053
0.940879,-0.1529,0.2277,-1.1072,1.141
0.946278,-0.1026,0.2297,-1.2097,1.236
0.951118,-0.0665,0.2535,-1.2639,1.291
0.955550,-0.0213,0.2349,-1.2844,1.306
0.959790,0.0540,0.2193,-1.2952,1.315
0.965416,0.0665,0.2208,-1.2870,1.307
0.970500,0.0645,0.2273,-1.3097,1.331
0.975483,0.0719,0.2672,-1.3155,1.344
0.979820,0.0698,0.2473,-1.3237,1.348
0.984513,0.0702,0.2560,-1.2819,1.309
0.990157,0.0420,0.2549,-1.2287,1.256
0.994412,0.0306,0.2488,-1.2162,1.242
0.999141,-0.0617,0.2162,-1.1848,1.206
1.003863,-0.1418,0.2378,-1.1607,1.193
1.009460,-0.2551,0.2370,-1.0941,1.148
1.014490,-0.3779,0.2639,-1.0020,1.103
1.018343,-0.5052,0.2465,-0.9082,1.068
1.023589,-0.5990,0.2372,-0.8721,1.084
1.028856,-0.6809,0.2383,-0.8600,1.123
1.034726,-0.6963,0.2092,-0.8954,1.153
1.038040,-0.6957,0.2120,-0.9519,1.198
1.055399,-0.6769,0.2019,-1.0363,1.254
1.056348,-0.6399,0.1910,-1.1627,1.341
1.056839,-0.5706,0.2273,-1.3023,1.440
1.060535,-0.4714,0.2491,-1.4431,1.538
1.062235,-0.3377,0.2994,-1.5424,1.607
1.067237,-0.2195,0.3261,-1.6052,1.653
1.072199,-0.0976,0.3368,-1.6770,1.713
1.076505,-0.0337,0.3459,-1.7388,1.773
1.081654,0.0441,0.3467,-1.7454,1.780
1.086453,0.0928,0.3629,-1.6975,1.738
1.091642,0.1411,0.3683,-1.6002,1.648
1.096252,0.1628,0.3533,-1.4539,1.505
1.100820,0.1746,0.3130,-1.2685,1.318
1.106529,0.2171,0.2711,-1.0514,1.107
1.110737,0.2237,0.2390,-0.8457,0.907
1.115357,0.2588,0.2022,-0.5918,0.677
1.120206,0.2654,0.2053,-0.3471,0.483
1.127419,0.2959,0.1314,-0.0759,0.333
1.134692,0.2669,0.0829,0.1788,0.332
1.135315,0.2312,0.0332,0.3935,0.458
1.139776,0.2150,0.0130,0.5566,0.597
1.154410,0.2282,-0.0372,0.6093,0.652
1.155045,0.2564,-0.1007,0.7352,0.785
1.155322,0.2446,-0.1417,0.8554,0.901
1.159082,0.2950,-0.2337,0.9273,1.001
1.163508,0.2786,-0.2455,1.0200,1.085
1.168625,0.2484,-0.2724,1.0384,1.102
1.174040,0.1714,-0.2620,0.9784,1.027
1.178168,0.1027,-0.1954,1.0092,1.033
