time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003891,-0.6290,-0.1271,-0.3441,0.728
0.004530,-0.6930,-0.0935,-0.5607,0.896
0.006894,-0.7559,-0.0280,-0.6575,1.002
0.010996,-0.7889,0.0497,-0.5892,0.986
0.016108,-0.7852,0.1323,-0.4564,0.918
0.020685,-0.7548,0.1694,-0.3715,0.858
0.025501,-0.6905,0.1303,-0.3847,0.801
0.031375,-0.5852,0.0511,-0.3931,0.707
0.035638,-0.4583,-0.0153,-0.3872,0.600
0.039960,-0.3148,-0.0616,-0.3671,0.487
0.044705,-0.2053,-0.1450,-0.2778,0.375
0.049979,-0.1253,-0.1748,-0.1363,0.255
0.057482,-0.0222,-0.1966,-0.0620,0.207
0.059395,0.0539,-0.2536,0.0121,0.260
0.064528,0.1533,-0.2864,0.1195,0.346
0.069966,0.2327,-0.2977,0.2363,0.446
0.073906,0.2707,-0.3237,0.3361,0.539
0.078807,0.3080,-0.3477,0.4000,0.613
0.083554,0.3375,-0.3558,0.4422,0.660
0.088565,0.3258,-0.3717,0.4654,0.679
0.093379,0.3042,-0.3501,0.4527,0.648
0.106816,0.2991,-0.3555,0.4090,0.619
0.107592,0.2410,-0.3186,0.3701,0.545
0.108028,0.1564,-0.2774,0.3123,0.446
0.112634,0.0766,-0.2366,0.2425,0.347
0.117399,0.0015,-0.1961,0.1824,0.268
0.125450,-0.0781,-0.1271,0.1177,0.190
0.132006,-0.1480,-0.0770,0.0386,0.171
0.132541,-0.2201,-0.0291,-0.0164,0.223
0.136935,-0.2631,0.0071,-0.0762,0.274
0.141601,-0.2940,0.0317,-0.0785,0.306
0.146919,-0.3223,0.0710,-0.0618,0.336
0.154640,-0.2906,0.0629,-0.0857,0.309
0.156267,-0.3159,0.0861,-0.0786,0.337
0.161017,-0.2907,0.0879,-0.0666,0.311
0.166290,-0.2771,0.0851,-0.0355,0.292
0.171021,-0.2488,0.0750,0.0147,0.260
0.175399,-0.2106,0.0743,0.0434,0.228
0.190511,-0.1651,0.0401,0.0697,0.184
0.191331,-0.0787,0.0296,0.0697,0.109
0.191781,-0.0065,0.0069,0.0841,0.085
0.195187,0.0539,-0.0111,0.1009,0.115
0.199825,0.0785,-0.0343,0.1058,0.136
0.209618,0.1128,-0.0240,0.1155,0.163
0.210197,0.1516,-0.0379,0.1300,0.203
0.215458,0.1976,-0.0614,0.1325,0.246
0.219486,0.2481,-0.0754,0.1350,0.292
0.224467,0.2601,-0.1086,0.1017,0.300
0.229003,0.2983,-0.1012,0.1066,0.333
0.233430,0.3005,-0.0795,0.0852,0.322
0.238839,0.2953,-0.1103,0.0949,0.329
0.243658,0.3138,-0.0790,0.0688,0.331
0.248346,0.3106,-0.0763,0.0760,0.329
0.253298,0.2856,-0.0496,0.0761,0.300
0.258017,0.2629,-0.0422,0.0594,0.273
0.263661,0.2378,-0.0251,0.0404,0.242
0.267889,0.1910,-0.0080,0.0094,0.191
0.272564,0.1060,0.0260,-0.0168,0.110
0.277273,0.0881,0.0576,-0.0406,0.113
0.282579,0.0128,0.0775,-0.0620,0.100
0.287066,-0.0194,0.0953,-0.1096,0.147
0.291934,-0.0609,0.1038,-0.1119,0.164
0.304588,-0.0902,0.1293,-0.1476,0.216
0.305391,-0.1382,0.1717,-0.1569,0.271
0.306480,-0.1668,0.1617,-0.1663,0.286
0.311705,-0.1662,0.1567,-0.1613,0.280
0.316295,-0.1965,0.1662,-0.1443,0.295
0.322779,-0.1906,0.1566,-0.1178,0.273
0.326066,-0.1822,0.1328,-0.0984,0.246
0.333352,-0.1497,0.1018,-0.0791,0.198
0.335183,-0.1243,0.1068,-0.0670,0.177
0.340733,-0.0918,0.0617,-0.0453,0.120
0.345139,-0.0641,0.0453,-0.0237,0.082
0.350033,-0.0032,0.0289,-0.0140,0.032
0.355577,0.0504,-0.0137,0.0100,0.053
0.359890,0.0750,-0.0107,0.0243,0.080
0.364729,0.1065,-0.0363,0.0338,0.118
0.369657,0.1522,-0.0568,0.0576,0.172
0.374483,0.1736,-0.0724,0.0670,0.200
0.388992,0.2220,-0.0872,0.0829,0.253
0.389902,0.2178,-0.0900,0.1177,0.263
0.390511,0.1897,-0.0930,0.1403,0.254
0.393694,0.1642,-0.0772,0.1366,0.227
0.398898,0.1318,-0.1045,0.1520,0.227
0.406565,0.1378,-0.0797,0.1460,0.216
0.408242,0.1058,-0.0766,0.1282,0.183
0.414714,0.1002,-0.0596,0.1034,0.156
0.418242,0.0996,-0.0358,0.1026,0.147
0.423074,0.0492,-0.0384,0.0615,0.088
0.428950,-0.0197,-0.0268,0.0539,0.063
0.432603,-0.0311,-0.0295,0.0299,0.052
0.437494,-0.0543,-0.0272,0.0036,0.061
0.442523,-0.0916,-0.0174,0.0154,0.095
0.446905,-0.1026,-0.0360,-0.0013,0.109
0.451883,-0.1325,-0.0233,0.0034,0.135
0.457050,-0.1742,-0.0366,0.0104,0.178
0.462416,-0.2038,-0.0614,0.0410,0.217
0.466293,-0.1903,-0.0457,0.0429,0.200
0.471502,-0.1888,-0.0634,0.0519,0.206
0.476131,-0.1872,-0.0409,0.0728,0.205
0.481101,-0.2043,-0.0402,0.0817,0.224
0.485921,-0.1784,-0.0256,0.1071,0.210
0.490788,-0.1597,-0.0280,0.1324,0.209
0.505146,-0.1291,-0.0426,0.1220,0.183
0.506036,-0.0726,-0.0549,0.1164,0.148
0.506607,-0.0425,-0.0863,0.1038,0.142
0.510035,-0.0126,-0.0867,0.0984,0.132
0.515110,0.0242,-0.0967,0.0883,0.133
0.519696,0.0251,-0.0710,0.0807,0.110
0.524559,0.0330,-0.0859,0.0803,0.122
0.529780,0.0454,-0.0841,0.0656,0.116
0.540499,0.0576,-0.0799,0.0486,0.110
0.541045,0.0600,-0.0757,0.0318,0.102
0.544115,0.0458,-0.0762,0.0175,0.091
0.548634,0.0457,-0.0837,-0.0086,0.096
0.553716,0.0431,-0.0768,-0.0132,0.089
0.558623,0.0333,-0.0650,-0.0272,0.078
0.563188,0.0423,-0.0816,-0.0341,0.098
0.568078,0.0178,-0.0718,-0.0124,0.075
0.573217,0.0099,-0.0595,-0.0100,0.061
0.586308,0.0042,-0.0756,0.0042,0.076
0.587169,0.0009,-0.0487,0.0041,0.049
0.587671,0.0023,-0.0457,0.0229,0.051
0.592427,-0.0153,-0.0237,0.0605,0.067
0.597326,-0.0517,-0.0068,0.0647,0.083
0.604132,-0.0498,0.0002,0.0665,0.083
0.607333,-0.0857,0.0283,0.0801,0.121
0.613896,-0.0878,0.0205,0.0510,0.104
0.616787,-0.0850,0.0243,0.0269,0.092
0.621413,-0.0987,0.0518,0.0315,0.116
0.627972,-0.1025,0.0386,0.0147,0.111
0.631318,-0.0945,0.0467,0.0147,0.106
0.636322,-0.0721,0.0477,0.0100,0.087
0.640443,-0.0783,0.0440,0.0076,0.090
0.646267,-0.0488,0.0616,-0.0136,0.080
0.650988,-0.0456,0.0435,0.0009,0.063
0.655012,-0.0235,0.0231,-0.0037,0.033
0.661333,0.0033,0.0409,-0.0178,0.045
0.664903,0.0131,0.0325,-0.0151,0.038
0.669997,0.0277,0.0265,-0.0315,0.050
0.674907,0.0420,0.0373,-0.0097,0.057
0.679484,0.0632,0.0647,-0.0048,0.091
0.684364,0.0771,0.0588,-0.0141,0.098
0.689478,0.0908,0.0624,-0.0306,0.114
0.702307,0.1045,0.0686,-0.0397,0.131
0.703268,0.1133,0.0675,-0.0346,0.136
0.703891,0.1031,0.1044,-0.0413,0.152
0.708678,0.0977,0.1032,-0.0457,0.149
0.713574,0.0926,0.0878,-0.0500,0.137
0.722559,0.0923,0.1178,-0.0495,0.158
0.723406,0.0826,0.0930,-0.0609,0.138
0.729649,0.0848,0.0876,-0.0746,0.143
0.733071,0.1036,0.0824,-0.0454,0.140
0.742066,0.1055,0.0609,-0.0522,0.133
0.742457,0.1145,0.0397,-0.0494,0.131
0.747655,0.1044,0.0094,-0.0491,0.116
0.752283,0.0990,0.0080,-0.0583,0.115
0.757086,0.0888,0.0140,-0.0366,0.097
0.761981,0.0762,0.0057,-0.0079,0.077
0.766947,0.0398,0.0023,-0.0175,0.044
0.771687,0.0227,-0.0033,-0.0247,0.034
0.780075,-0.0035,0.0197,-0.0152,0.025
0.786571,-0.0010,0.0140,0.0014,0.014
0.787141,-0.0386,0.0202,0.0107,0.045
0.791113,-0.0878,0.0288,0.0034,0.092
0.795977,-0.1198,-0.0055,0.0222,0.122
0.800737,-0.1064,-0.0016,0.0362,0.112
0.805772,-0.1167,-0.0261,0.0429,0.127
0.810251,-0.1291,-0.0410,0.0472,0.143
0.815429,-0.1153,-0.0654,0.0515,0.142
0.820389,-0.1394,-0.0661,0.0700,0.169
0.824422,-0.1252,-0.0526,0.0860,0.161
0.830099,-0.1160,-0.0750,0.1114,0.177
0.834923,-0.0973,-0.0712,0.1247,0.173
0.839559,-0.0789,-0.1055,0.1142,0.174
0.844486,-0.0419,-0.1158,0.1038,0.161
0.849278,-0.0196,-0.1522,0.1171,0.193
0.853989,0.0024,-0.1647,0.0996,0.192
0.858850,0.0099,-0.1700,0.0916,0.193
0.864024,0.0361,-0.1422,0.0956,0.175
0.869043,0.0314,-0.1123,0.0829,0.143
0.873282,0.0266,-0.0781,0.0822,0.117
0.881432,0.0053,-0.0634,0.0769,0.100
0.883299,-0.0135,-0.0583,0.0691,0.091
0.887863,-0.0179,-0.0534,0.0378,0.068
0.893726,-0.0127,-0.0484,0.0304,0.059
