time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004910,0.1267,-0.0506,-0.0943,0.166
0.005484,0.0893,0.0013,-0.3210,0.333
0.005808,0.0466,0.0500,-0.4582,0.463
0.010410,0.0295,0.0860,-0.5208,0.529
0.012002,0.0235,0.1095,-0.5379,0.549
0.016146,0.0167,0.1038,-0.4672,0.479
0.021133,0.0159,0.1019,-0.3593,0.374
0.026313,0.0186,0.1033,-0.2214,0.245
0.030810,-0.0064,0.1005,-0.0729,0.124
0.035894,0.0072,0.1145,0.0957,0.149
0.040757,-0.0101,0.1091,0.2392,0.263
0.045606,0.0081,0.1126,0.3791,0.396
0.050985,0.0138,0.1128,0.4919,0.505
0.055294,0.0426,0.1284,0.5824,0.598
0.060126,0.0585,0.1046,0.6224,0.634
0.064963,0.1211,0.1058,0.6385,0.658
0.076803,0.1658,0.0820,0.5833,0.612
0.077571,0.1929,0.0479,0.4977,0.536
0.079646,0.2217,0.0728,0.3916,0.456
0.085339,0.2215,0.0805,0.3006,0.382
0.089012,0.2163,0.0950,0.1891,0.303
0.094118,0.1995,0.1000,0.0808,0.237
0.098980,0.2161,0.1172,0.0042,0.246
0.108407,0.1640,0.1511,-0.0480,0.228
0.109219,0.1434,0.1614,-0.0902,0.234
0.113509,0.1115,0.1578,-0.1346,0.235
0.118441,0.0918,0.1499,-0.1572,0.236
0.126285,0.0868,0.1497,-0.1868,0.255
0.128128,0.0535,0.1431,-0.1735,0.231
0.132758,0.0351,0.1700,-0.1390,0.222
0.137542,0.0312,0.1805,-0.0905,0.204
0.142741,0.0087,0.1815,-0.0377,0.186
0.147224,0.0151,0.1823,0.0408,0.187
0.159209,-0.0045,0.1712,0.0735,0.186
0.160237,-0.0168,0.1384,0.1107,0.178
0.161880,-0.0171,0.1459,0.1405,0.203
0.166488,-0.0222,0.1553,0.1582,0.223
0.175423,-0.0083,0.1405,0.1544,0.209
0.176375,0.0008,0.1161,0.1199,0.167
0.181418,0.0264,0.1225,0.0998,0.160
0.186530,0.0379,0.1217,0.0562,0.139
0.190924,0.0399,0.1113,0.0414,0.125
0.195852,0.0397,0.1366,0.0244,0.144
0.200765,0.0398,0.1357,0.0075,0.142
0.205790,0.0424,0.1254,-0.0045,0.132
0.209913,0.0261,0.1389,-0.0046,0.141
0.216759,-0.0090,0.1403,-0.0355,0.145
0.220335,-0.0129,0.1489,-0.0448,0.156
0.224776,-0.0241,0.1717,-0.0327,0.176
0.229681,-0.0402,0.1727,-0.0396,0.182
0.234443,-0.0279,0.1831,-0.0298,0.188
0.239904,-0.0207,0.1862,-0.0486,0.194
0.244409,-0.0233,0.1772,-0.0672,0.191
0.248914,-0.0166,0.1635,-0.0762,0.181
0.254247,-0.0079,0.1472,-0.0803,0.168
0.259170,0.0123,0.1499,-0.1129,0.188
0.263605,0.0419,0.1454,-0.1475,0.211
0.275426,0.0641,0.1387,-0.2103,0.260
0.276362,0.0722,0.1275,-0.2584,0.297
0.278185,0.0973,0.1288,-0.2943,0.336
0.283013,0.1063,0.1304,-0.3204,0.362
0.289475,0.1040,0.1233,-0.3439,0.380
0.295723,0.0834,0.1072,-0.3318,0.358
0.297682,0.0707,0.1369,-0.2912,0.329
0.303683,0.0562,0.1381,-0.2582,0.298
0.310539,0.0374,0.1158,-0.1780,0.216
0.311987,-0.0001,0.1364,-0.1151,0.178
0.317058,-0.0705,0.1328,-0.0550,0.160
0.322016,-0.0670,0.1479,-0.0239,0.164
0.326525,-0.0898,0.1601,0.0141,0.184
0.331447,-0.1008,0.1718,0.0352,0.202
0.336392,-0.1237,0.1830,0.0110,0.221
0.341130,-0.1064,0.1841,-0.0105,0.213
0.345988,-0.1037,0.2086,-0.0437,0.237
0.353403,-0.1154,0.2399,-0.0861,0.280
0.359373,-0.0964,0.2567,-0.1401,0.308
0.362458,-0.0848,0.2592,-0.2268,0.355
0.365246,-0.0687,0.2642,-0.2795,0.391
0.370174,-0.0409,0.2291,-0.3128,0.390
0.375315,-0.0205,0.2137,-0.3459,0.407
0.379821,0.0070,0.1705,-0.3740,0.411
0.384627,0.0058,0.1591,-0.3876,0.419
0.389725,-0.0070,0.1248,-0.4083,0.427
0.394495,-0.0124,0.1388,-0.3766,0.402
0.399291,-0.0127,0.1440,-0.3192,0.350
0.405027,-0.0602,0.1686,-0.2646,0.319
0.409273,-0.0952,0.2455,-0.1725,0.315
0.413214,-0.0988,0.2294,-0.0812,0.263
0.419322,-0.1093,0.2463,-0.0048,0.270
0.423530,-0.1100,0.2082,0.0637,0.244
0.428320,-0.1106,0.1984,0.1081,0.252
0.433711,-0.0920,0.1976,0.1212,0.249
0.437975,-0.0948,0.1752,0.1271,0.236
0.442754,-0.0786,0.2048,0.1093,0.245
0.447764,-0.0766,0.2105,0.0750,0.236
0.452593,-0.0651,0.2185,0.0244,0.229
0.457338,-0.0559,0.2385,0.0169,0.246
0.462348,-0.0538,0.2490,0.0071,0.255
0.474777,-0.0542,0.2573,0.0045,0.263
0.475974,-0.0427,0.2681,0.0185,0.272
0.476891,-0.0172,0.2697,0.0158,0.271
0.481517,0.0436,0.2524,0.0677,0.265
0.486568,0.0897,0.2806,0.1191,0.318
0.492526,0.1140,0.2538,0.1891,0.336
0.496310,0.1619,0.2435,0.2680,0.397
0.505910,0.1737,0.2400,0.3511,0.459
0.506863,0.1830,0.2452,0.4074,0.509
0.516607,0.1587,0.2139,0.4514,0.524
0.517425,0.1035,0.2413,0.4761,0.544
0.520461,0.0649,0.2438,0.4650,0.529
0.525201,-0.0121,0.2597,0.4446,0.515
0.530096,-0.0392,0.2819,0.4172,0.505
0.534903,-0.0029,0.2440,0.4186,0.485
0.540021,-0.0148,0.2724,0.3464,0.441
0.544553,-0.0672,0.3334,0.3247,0.470
0.552505,-0.0742,0.2986,0.2771,0.414
0.559048,-0.1169,0.2924,0.2370,0.394
0.559818,-0.1333,0.2745,0.1996,0.365
0.564398,-0.1471,0.3017,0.1934,0.387
0.570187,-0.1680,0.2980,0.1824,0.388
0.573678,-0.1576,0.3156,0.1882,0.400
0.578561,-0.1521,0.3188,0.1940,0.403
0.583272,-0.1676,0.3030,0.2044,0.402
0.588457,-0.1425,0.3088,0.2195,0.405
0.593119,-0.1316,0.2696,0.2345,0.381
0.597748,-0.1516,0.2875,0.2636,0.418
0.602912,-0.1855,0.3002,0.3067,0.468
0.608642,-0.2121,0.2982,0.3305,0.493
0.612497,-0.2531,0.3050,0.3707,0.543
0.616827,-0.2611,0.3276,0.3917,0.574
0.622269,-0.3031,0.3468,0.3651,0.588
0.627119,-0.3197,0.3888,0.3530,0.615
0.631659,-0.3325,0.4393,0.3077,0.631
0.637406,-0.3106,0.4674,0.2084,0.599
0.641678,-0.2945,0.4997,0.1194,0.592
0.646473,-0.2456,0.5055,0.0216,0.562
0.659024,-0.2068,0.5304,-0.0730,0.574
0.660251,-0.1753,0.5458,-0.1976,0.606
0.660898,-0.1389,0.5618,-0.2975,0.651
0.665941,-0.1402,0.5926,-0.3871,0.722
0.674460,-0.1546,0.6361,-0.4689,0.805
0.675285,-0.1560,0.6472,-0.5192,0.844
0.680526,-0.1776,0.6832,-0.5597,0.901
0.685747,-0.1697,0.6918,-0.5667,0.910
0.690052,-0.1897,0.6873,-0.5548,0.903
0.694665,-0.2162,0.6863,-0.5003,0.876
0.699707,-0.2280,0.6648,-0.4487,0.834
0.704490,-0.2348,0.6348,-0.3881,0.780
0.709380,-0.2415,0.6032,-0.3494,0.738
0.716670,-0.2432,0.5890,-0.2826,0.697
0.719362,-0.2639,0.5774,-0.2045,0.667
0.724318,-0.2700,0.5729,-0.1483,0.650
0.728623,-0.2782,0.5516,-0.1045,0.627
0.733619,-0.3074,0.5634,-0.0587,0.644
0.738551,-0.3124,0.5581,-0.0416,0.641
0.743333,-0.3433,0.5667,-0.0200,0.663
