time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008788,0.0510,0.0204,-0.3657,0.370
0.009576,0.0030,0.0537,-0.3744,0.378
0.010077,-0.0413,0.0688,-0.3357,0.345
0.014800,-0.1011,0.0940,-0.2358,0.273
0.017047,-0.1290,0.0888,-0.1343,0.206
0.021452,-0.1515,0.1122,-0.0076,0.189
0.026651,-0.1666,0.1495,0.1038,0.247
0.032736,-0.1391,0.1386,0.2285,0.301
0.036173,-0.1287,0.1341,0.3215,0.371
0.040995,-0.1143,0.1193,0.3686,0.404
0.046633,-0.0554,0.0944,0.3656,0.382
0.050791,-0.0333,0.0975,0.3366,0.352
0.055553,0.0259,0.0691,0.3055,0.314
0.060532,0.0579,0.0809,0.2487,0.268
0.065468,0.0513,0.0662,0.1876,0.205
0.069935,0.0893,0.0799,0.1223,0.171
0.076606,0.0936,0.0793,0.0789,0.146
0.080105,0.0835,0.0669,0.0003,0.107
0.086538,0.0425,0.0808,-0.0279,0.095
0.093209,0.0234,0.0570,-0.0961,0.114
0.094511,-0.0261,0.0836,-0.1307,0.157
0.099064,-0.0561,0.0867,-0.1507,0.183
0.103965,-0.1116,0.0713,-0.1516,0.201
0.108682,-0.1569,0.0778,-0.1573,0.235
0.113796,-0.1731,0.0537,-0.1511,0.236
0.118396,-0.1886,0.0635,-0.1403,0.243
0.123763,-0.2203,0.0498,-0.1154,0.254
0.128781,-0.2515,0.0341,-0.0954,0.271
0.133515,-0.2560,0.0354,-0.0472,0.263
0.137718,-0.2460,0.0177,-0.0160,0.247
0.142780,-0.2310,0.0143,0.0411,0.235
0.147515,-0.2372,0.0226,0.0929,0.256
0.152525,-0.2100,0.0613,0.1205,0.250
0.163979,-0.1950,0.0518,0.1504,0.252
0.164673,-0.2017,0.0656,0.1563,0.263
0.166763,-0.1921,0.0764,0.1527,0.257
0.171878,-0.2041,0.0677,0.1374,0.255
0.176735,-0.1737,0.0564,0.0842,0.201
0.185824,-0.1914,0.0616,0.0481,0.207
0.186428,-0.1854,0.0667,0.0076,0.197
0.191650,-0.1937,0.0791,-0.0397,0.213
0.196011,-0.1925,0.1082,-0.0653,0.230
0.200996,-0.2195,0.0923,-0.1001,0.258
0.206045,-0.2317,0.0911,-0.1300,0.281
0.210614,-0.2080,0.0715,-0.1289,0.255
0.215684,-0.2123,0.0810,-0.0946,0.246
0.220215,-0.2160,0.0740,-0.0677,0.238
0.225047,-0.2071,0.0956,-0.0411,0.232
0.230298,-0.2452,0.0911,0.0114,0.262
0.234390,-0.2300,0.0818,0.0491,0.249
0.240433,-0.2403,0.0845,0.0462,0.259
0.245894,-0.2757,0.0730,0.0432,0.288
0.249412,-0.3053,0.0639,0.0474,0.315
0.254404,-0.3412,0.0691,0.0515,0.352
0.259225,-0.3501,0.0789,0.0745,0.367
0.264004,-0.3658,0.1265,0.1021,0.400
0.268674,-0.3929,0.1473,0.1366,0.441
0.275663,-0.3817,0.1677,0.1400,0.440
0.281127,-0.3607,0.1590,0.1054,0.408
0.284760,-0.3420,0.1906,0.0663,0.397
0.289016,-0.3661,0.2243,0.0466,0.432
0.292369,-0.3662,0.2435,0.0080,0.440
0.297807,-0.3637,0.2794,-0.0231,0.459
0.302611,-0.3301,0.2796,-0.0588,0.437
0.307303,-0.2893,0.2752,-0.0775,0.407
0.312197,-0.2530,0.2760,-0.1104,0.390
0.317526,-0.2405,0.2535,-0.1477,0.379
0.322039,-0.2184,0.2364,-0.1255,0.345
0.326893,-0.1774,0.2103,-0.1130,0.297
0.331803,-0.1296,0.1613,-0.0792,0.222
