time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002236,-0.2053,0.1627,0.1396,0.297
0.002592,-0.2562,0.2386,0.0867,0.361
0.007050,-0.3574,0.2454,0.1601,0.462
0.016880,-0.3868,0.2153,0.3159,0.544
0.017199,-0.3220,0.1376,0.4135,0.542
0.020624,-0.1735,0.0650,0.4201,0.459
0.026169,-0.0273,-0.0000,0.3934,0.394
0.030471,0.1100,-0.0502,0.3098,0.333
0.035725,0.2225,-0.0648,0.2151,0.316
0.040927,0.3401,-0.1179,0.1068,0.376
0.045490,0.3877,-0.1696,0.0445,0.425
0.061208,0.4663,-0.2203,0.0135,0.516
0.062018,0.4979,-0.2517,-0.0006,0.558
0.062458,0.4742,-0.2313,-0.0360,0.529
0.064931,0.4197,-0.2191,-0.0498,0.476
0.069982,0.3085,-0.1489,0.0077,0.343
0.074717,0.2239,-0.0568,0.0861,0.246
0.079342,0.1676,-0.0358,0.1781,0.247
0.092269,0.1011,-0.0092,0.2670,0.286
0.092680,0.0694,-0.0200,0.3007,0.309
0.093882,0.0529,-0.0201,0.2819,0.288
0.098845,0.0395,-0.0334,0.2396,0.245
0.103586,0.0243,-0.0214,0.1503,0.154
0.108583,0.0240,-0.0314,0.0143,0.042
0.116098,0.0007,-0.0013,-0.0922,0.092
0.118240,0.0398,-0.0096,-0.1526,0.158
0.123121,0.0598,-0.0272,-0.1034,0.123
0.128099,0.0677,-0.0493,-0.0665,0.107
0.132640,0.0726,-0.0568,-0.0204,0.094
0.138172,0.0697,-0.1020,0.0016,0.124
0.142596,0.0778,-0.1063,-0.0429,0.139
0.148142,0.0901,-0.1079,-0.1013,0.173
0.158517,0.0759,-0.0806,-0.1877,0.218
0.159279,0.0524,-0.0531,-0.2924,0.302
0.161860,0.0650,-0.0348,-0.3869,0.394
0.167004,0.0355,-0.0207,-0.4426,0.445
0.171724,0.0093,0.0009,-0.4861,0.486
0.176396,-0.0183,0.0206,-0.5056,0.506
0.181312,-0.0166,-0.0044,-0.4776,0.478
0.193707,0.0118,-0.0167,-0.3834,0.384
0.194093,0.0496,-0.0452,-0.3043,0.312
0.195888,0.0849,-0.0993,-0.1902,0.231
0.200488,0.1436,-0.1388,-0.0819,0.216
0.205341,0.2372,-0.1688,0.0422,0.294
0.210071,0.2989,-0.1824,0.1558,0.383
0.220062,0.3454,-0.1727,0.2164,0.443
0.220647,0.3673,-0.1804,0.2528,0.481
0.225041,0.3601,-0.1768,0.2438,0.469
0.229761,0.3239,-0.1308,0.2066,0.406
0.234405,0.1067,0.1712,0.1531,0.253
