time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004452,-0.7246,-0.2202,1.6427,1.809
0.005141,-0.6868,-0.0891,1.6675,1.806
0.006383,-0.4939,0.0251,1.5084,1.587
0.011058,-0.3624,0.0992,1.1131,1.175
0.016144,-0.2646,0.1104,0.5941,0.660
0.020897,-0.2205,0.0478,0.1235,0.257
0.032241,-0.1745,-0.0116,-0.2557,0.310
0.032938,-0.1336,-0.0770,-0.4961,0.519
0.035546,-0.1217,-0.1170,-0.6526,0.674
0.040108,-0.1029,-0.0815,-0.7326,0.744
0.046769,-0.1225,-0.0183,-0.7482,0.758
0.050093,-0.1686,0.0676,-0.6922,0.716
0.055014,-0.2228,0.1306,-0.5265,0.586
0.060093,-0.2596,0.1968,-0.3132,0.452
0.064525,-0.2725,0.1991,-0.1385,0.365
0.069402,-0.2856,0.1732,0.0073,0.334
0.074550,-0.2825,0.1691,0.1314,0.355
0.079331,-0.2228,0.1076,0.2219,0.332
0.084009,-0.1448,0.0556,0.3076,0.344
0.088844,-0.0629,-0.0111,0.3526,0.358
0.093746,0.0349,-0.0495,0.3713,0.376
0.098710,0.0889,-0.0957,0.3327,0.357
0.103360,0.1378,-0.1184,0.3204,0.368
0.107992,0.1792,-0.1441,0.2509,0.340
0.113255,0.1607,-0.1320,0.2173,0.301
0.118148,0.1376,-0.0964,0.1551,0.229
0.122674,0.0787,-0.0920,0.1074,0.162
0.127589,0.0273,-0.0735,0.0549,0.096
0.133170,0.0023,-0.0336,0.0168,0.038
0.137338,-0.0416,-0.0248,0.0099,0.049
0.142497,-0.0424,-0.0041,-0.0282,0.051
0.147115,-0.0357,-0.0168,-0.0638,0.075
0.151839,-0.0025,-0.0293,-0.0826,0.088
0.157346,0.0263,-0.0227,-0.0799,0.087
0.161969,0.0674,-0.0614,-0.0677,0.114
0.166545,0.0944,-0.0425,-0.1129,0.153
0.171103,0.1360,-0.0953,-0.1365,0.215
0.176539,0.1611,-0.0881,-0.1578,0.242
