time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007487,0.0227,0.1310,-0.3474,0.372
0.008223,-0.1000,0.2018,-0.7103,0.745
0.008768,-0.2620,0.2611,-1.0659,1.128
0.013398,-0.3253,0.3504,-1.4311,1.509
0.016011,-0.3721,0.4558,-1.6647,1.766
0.020849,-0.3920,0.6011,-1.6736,1.821
0.027119,-0.4603,0.7239,-1.5488,1.770
0.030630,-0.5350,0.7807,-1.2998,1.608
0.047823,-0.4643,0.8113,-0.7547,1.201
0.048681,-0.3536,0.6406,-0.3798,0.824
0.049174,-0.1976,0.4930,-0.2488,0.587
0.050084,-0.0547,0.4376,-0.3114,0.540
0.054917,0.0383,0.4358,-0.5053,0.668
0.059434,0.1090,0.4800,-0.5889,0.768
0.065773,0.1318,0.6152,-0.5840,0.858
0.069455,0.1074,0.6117,-0.5409,0.824
0.079956,0.0606,0.6033,-0.6173,0.865
0.080804,-0.0462,0.5973,-0.6986,0.920
0.084237,-0.1512,0.6245,-0.6388,0.906
0.089179,-0.1737,0.6180,-0.4453,0.781
0.093660,-0.1669,0.5849,-0.2784,0.669
0.098372,-0.1573,0.5992,-0.1451,0.636
0.103349,-0.1616,0.6230,-0.1147,0.654
0.108553,-0.1484,0.6469,-0.1154,0.674
0.113002,-0.1031,0.6444,-0.0708,0.656
0.117800,-0.0398,0.6227,0.0501,0.626
0.123050,0.0246,0.5858,0.2235,0.627
0.127615,0.0973,0.5336,0.3942,0.671
0.131922,0.1878,0.4921,0.5504,0.762
0.137551,0.2196,0.4729,0.6945,0.868
0.148154,0.2380,0.4306,0.7643,0.909
0.149050,0.2478,0.3987,0.8484,0.970
0.151825,0.2011,0.3558,0.9348,1.020
0.156519,0.1930,0.3760,1.0331,1.116
0.164688,0.2040,0.3565,1.1147,1.188
0.166431,0.1619,0.3115,1.2034,1.254
0.171483,0.1934,0.2984,1.2516,1.301
0.176003,0.2266,0.2861,1.2496,1.302
0.181501,0.2521,0.2816,1.2096,1.267
0.185664,0.3298,0.2635,1.1482,1.223
