time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004837,-0.1051,0.1748,0.3778,0.429
0.005652,-0.1185,0.2933,0.1957,0.372
0.006268,-0.1149,0.3284,0.0411,0.350
0.011742,-0.0833,0.3100,-0.0648,0.327
0.015847,-0.0243,0.2414,-0.1511,0.286
0.018123,0.0567,0.2015,-0.1751,0.273
0.023301,0.1547,0.1570,-0.0972,0.241
0.027620,0.2123,0.1690,-0.0106,0.272
0.032754,0.2541,0.1845,0.0561,0.319
0.041803,0.2659,0.2032,0.1102,0.352
0.042555,0.2508,0.2245,0.1449,0.366
0.047197,0.2349,0.2125,0.1413,0.347
0.051924,0.2066,0.1938,0.1186,0.307
0.066993,0.2258,0.1348,0.0654,0.271
0.068061,0.2401,0.1073,0.0173,0.264
0.068706,0.2733,0.0825,-0.0114,0.286
0.072065,0.3753,0.0008,-0.0589,0.380
0.082306,0.4960,-0.0735,0.0199,0.502
0.082809,0.5406,-0.1262,-0.0229,0.556
0.086403,0.5981,-0.1198,-0.1009,0.618
0.095315,0.6636,-0.1472,-0.1306,0.692
0.095904,0.7204,-0.2058,-0.1221,0.759
0.100334,0.7377,-0.2432,-0.1397,0.789
0.105267,0.7012,-0.2569,-0.1238,0.757
0.110226,0.6033,-0.2228,-0.0274,0.644
0.115157,0.4140,-0.0373,-0.0790,0.423
0.119767,0.2835,-0.0125,-0.0897,0.298
0.124627,0.1259,0.0361,0.2437,0.277
0.129469,0.1460,0.1015,0.2206,0.283
0.134862,0.1325,0.1074,-0.0182,0.171
0.139205,0.1208,0.1632,-0.0297,0.205
0.143689,0.0775,0.1878,-0.0102,0.203
0.149017,0.0532,0.1719,-0.0526,0.187
0.164633,0.0436,0.1620,-0.1742,0.242
0.165748,0.0555,0.2190,-0.2072,0.307
0.166473,0.0341,0.2474,-0.2688,0.367
0.168222,0.0345,0.2639,-0.3232,0.419
0.173176,0.0187,0.3068,-0.3656,0.478
0.178302,0.0055,0.2852,-0.3625,0.461
0.182772,0.0096,0.2757,-0.3738,0.465
0.202773,0.0357,0.2518,-0.3636,0.444
0.203664,0.0718,0.2567,-0.3581,0.446
0.204162,0.0820,0.2903,-0.3646,0.473
