time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002358,-0.1344,0.1813,-0.4940,0.543
0.002756,-0.0268,0.1900,-0.5987,0.629
0.013408,0.0037,0.1879,-0.6172,0.645
0.013959,0.0334,0.1869,-0.5621,0.593
0.015402,0.0523,0.1653,-0.4032,0.439
0.021284,0.0290,0.1870,-0.1579,0.246
0.025464,-0.0062,0.2132,0.1970,0.290
0.029752,-0.1317,0.2533,0.4896,0.567
0.034996,-0.2093,0.2523,0.7086,0.781
0.039927,-0.4981,0.4077,0.6814,0.937
0.044729,-0.7832,0.4475,0.8752,1.257
0.049584,-0.7624,0.3398,0.6165,1.038
0.054469,-0.5348,0.1932,0.2555,0.623
0.059323,-0.0968,0.0249,-0.2093,0.232
0.070416,0.3437,-0.1388,-0.4141,0.556
0.071089,0.6871,-0.3055,-0.4085,0.856
0.080098,0.7558,-0.3947,-0.2558,0.890
0.080793,0.6988,-0.4336,-0.0260,0.823
0.083569,0.6428,-0.3941,0.0760,0.758
0.088381,0.4688,-0.3837,0.2603,0.659
0.093053,0.2935,-0.3765,0.5380,0.719
0.097925,0.1423,-0.3681,0.7661,0.862
0.111121,0.0075,-0.3372,0.8761,0.939
0.111897,-0.0468,-0.2934,0.8833,0.932
0.112424,-0.1091,-0.2817,0.8383,0.891
0.117438,-0.1154,-0.2281,0.7107,0.755
0.122850,-0.1513,-0.1611,0.5605,0.603
0.126976,-0.2023,-0.0852,0.4021,0.458
0.132121,-0.2563,-0.0072,0.2498,0.358
0.138383,-0.3085,0.0848,0.0940,0.333
0.141603,-0.3350,0.1387,-0.0392,0.365
0.146372,-0.3643,0.1241,-0.1547,0.415
0.151379,-0.3392,0.1177,-0.2906,0.462
0.156186,-0.2885,0.1217,-0.3733,0.487
0.161262,-0.2736,0.1005,-0.4269,0.517
0.165741,-0.2015,0.1015,-0.4255,0.482
0.170040,-0.1890,0.1032,-0.3815,0.438
0.175549,-0.2068,0.1003,-0.3236,0.397
0.180444,-0.2638,0.1331,-0.2829,0.409
0.195101,-0.3265,0.1772,-0.2021,0.423
0.196010,-0.4091,0.2324,-0.0960,0.480
0.196619,-0.4807,0.2578,0.0402,0.547
0.199702,-0.4941,0.2889,0.1611,0.595
0.204802,-0.5306,0.3185,0.2597,0.671
0.209282,-0.5546,0.3465,0.3410,0.738
0.214085,-0.5643,0.3921,0.4004,0.795
0.220419,-0.5955,0.4196,0.4142,0.838
0.223770,-0.6249,0.4554,0.4091,0.875
