time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002940,0.0647,-0.3910,-0.1795,0.435
0.003466,0.0813,-0.3426,-0.1697,0.391
0.003889,0.1278,-0.3337,-0.1863,0.403
0.007667,0.1070,-0.2760,-0.2575,0.392
0.012537,0.0932,-0.2290,-0.3663,0.442
0.017573,0.0562,-0.1216,-0.4554,0.475
0.030978,0.0459,-0.0563,-0.4751,0.481
0.031711,0.0385,-0.0046,-0.4046,0.406
0.032176,0.0241,0.0383,-0.3277,0.331
0.036978,0.0357,0.0721,-0.2183,0.233
0.042061,0.0447,0.1228,-0.1526,0.201
0.049323,0.0344,0.1354,-0.1041,0.174
0.051355,0.0029,0.1386,-0.0798,0.160
0.057635,-0.0520,0.1535,-0.0509,0.170
0.060980,-0.0708,0.1491,0.0039,0.165
0.066054,-0.1320,0.1397,0.0274,0.194
0.070463,-0.1690,0.1395,0.0626,0.228
0.075539,-0.1966,0.1221,0.1166,0.259
0.080470,-0.2148,0.0761,0.1606,0.279
0.085108,-0.2119,0.0538,0.1687,0.276
0.090194,-0.1998,0.0100,0.1435,0.246
0.095153,-0.1737,-0.0196,0.1020,0.202
0.099301,-0.1168,-0.0611,0.0822,0.155
0.105555,-0.0675,-0.0646,0.0341,0.099
0.109992,0.0055,-0.0588,0.0387,0.071
0.114510,0.0637,-0.0581,0.0386,0.094
0.119077,0.1051,-0.0362,0.0408,0.118
0.124008,0.1274,-0.0314,0.0384,0.137
0.128785,0.1212,-0.0245,0.0360,0.129
0.133974,0.1176,0.0202,0.0266,0.122
0.148524,0.1118,0.0335,0.0268,0.120
0.149309,0.0943,0.0348,0.0151,0.102
0.149860,0.0795,0.0599,-0.0155,0.101
0.153227,0.0672,0.0801,-0.0410,0.112
0.158078,0.0597,0.0767,-0.0498,0.109
0.166400,0.0401,0.0663,-0.0680,0.103
0.167622,0.0256,0.0683,-0.1028,0.126
0.172526,0.0302,0.0729,-0.1396,0.160
0.177206,0.0489,0.0803,-0.1312,0.161
0.182181,0.0460,0.0857,-0.1347,0.166
0.186818,0.0835,0.0749,-0.1121,0.159
0.191803,0.1134,0.0647,-0.1254,0.181
0.196766,0.1077,0.0715,-0.1458,0.195
0.206885,0.1212,0.0644,-0.1399,0.196
0.207399,0.1348,0.0742,-0.1222,0.197
0.211503,0.1389,0.0890,-0.0738,0.181
0.215972,0.1406,0.0799,-0.0140,0.162
0.231332,0.1304,0.0850,-0.0021,0.156
0.232101,0.0944,0.0806,0.0026,0.124
0.232525,0.0612,0.0689,-0.0046,0.092
0.235303,0.0544,0.0643,0.0049,0.084
0.240441,0.0289,0.0453,0.0167,0.056
0.248787,0.0130,0.0477,0.0048,0.050
0.249981,-0.0194,0.0429,-0.0308,0.056
0.254569,-0.0396,0.0475,-0.0448,0.076
0.259293,-0.0644,0.0521,-0.0704,0.109
0.264387,-0.0676,0.0830,-0.0675,0.127
0.269312,-0.0733,0.0758,-0.0574,0.120
0.274592,-0.0932,0.0736,-0.0641,0.135
0.278954,-0.0989,0.1073,-0.0850,0.169
0.283869,-0.1023,0.1008,-0.0939,0.172
0.288807,-0.0963,0.0828,-0.1100,0.168
0.293528,-0.1141,0.0558,-0.1117,0.169
0.298351,-0.1202,0.0507,-0.0897,0.158
0.304532,-0.1192,0.0436,-0.0964,0.159
0.307848,-0.1206,0.0226,-0.0699,0.141
0.312846,-0.1269,0.0019,-0.0389,0.133
0.317979,-0.1165,0.0004,-0.0106,0.117
