time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002143,0.2706,-0.1349,0.2958,0.423
0.003157,0.3869,-0.0881,0.2402,0.464
0.008975,0.4091,-0.0865,0.2347,0.479
0.012890,0.4056,-0.0696,0.2147,0.464
0.017928,0.3994,-0.0919,0.1921,0.453
0.023029,0.4118,-0.1270,0.1456,0.455
0.027305,0.4163,-0.1698,0.0631,0.454
0.032422,0.4441,-0.2204,-0.0003,0.496
0.037223,0.4402,-0.2333,-0.0280,0.499
0.042311,0.4430,-0.2282,-0.0008,0.498
0.046969,0.4238,-0.1744,0.0574,0.462
0.051040,0.3901,-0.1438,0.1274,0.435
0.058395,0.3513,-0.0486,0.2045,0.409
0.061526,0.3101,-0.0229,0.2887,0.424
0.066279,0.2783,0.0190,0.3514,0.449
0.071150,0.2346,0.0770,0.4164,0.484
0.085243,0.2195,0.0767,0.4791,0.533
0.085824,0.2188,0.0970,0.4678,0.525
0.086231,0.2421,0.0877,0.4566,0.524
0.090707,0.2178,0.0777,0.4216,0.481
0.095573,0.2247,0.0885,0.3676,0.440
0.100499,0.2031,0.1036,0.3448,0.413
0.105296,0.1815,0.1447,0.3292,0.403
0.110057,0.1645,0.1664,0.3232,0.399
0.114762,0.1834,0.2024,0.3101,0.413
0.119528,0.1901,0.2027,0.2922,0.403
0.124749,0.2086,0.2103,0.2911,0.415
0.129328,0.2271,0.1917,0.2875,0.414
0.134298,0.2312,0.1972,0.2721,0.408
0.138853,0.2452,0.1742,0.2876,0.416
0.144526,0.2690,0.1633,0.2816,0.422
0.148799,0.2693,0.1741,0.2661,0.417
0.153629,0.2844,0.1466,0.2672,0.417
0.158381,0.2930,0.1694,0.2540,0.423
0.163200,0.2519,0.1898,0.2527,0.404
0.168135,0.2186,0.1815,0.2299,0.366
0.172928,0.1811,0.1875,0.2550,0.365
0.177947,0.1536,0.2102,0.2560,0.365
0.182325,0.1313,0.2091,0.2308,0.338
0.187475,0.1093,0.2272,0.2391,0.347
0.199018,0.0993,0.2191,0.2378,0.338
0.199683,0.1277,0.1942,0.2436,0.337
0.201889,0.1152,0.1671,0.2447,0.318
0.206808,0.1361,0.1545,0.2435,0.319
0.211092,0.1447,0.1276,0.2494,0.315
0.216581,0.1937,0.1224,0.2553,0.343
0.221352,0.2017,0.0979,0.2588,0.342
0.232919,0.2406,0.1068,0.2768,0.382
0.233533,0.2649,0.1010,0.3091,0.419
0.235732,0.2795,0.1045,0.3485,0.459
0.240755,0.3108,0.1074,0.3761,0.500
0.245390,0.3420,0.0692,0.3630,0.503
0.250657,0.3685,0.0567,0.3548,0.515
0.255037,0.3809,0.0292,0.3468,0.516
0.260007,0.3934,-0.0012,0.3555,0.530
0.265180,0.3702,0.0060,0.3642,0.519
0.269849,0.3540,-0.0113,0.4065,0.539
0.282136,0.3349,-0.0124,0.4369,0.551
0.284356,0.3224,-0.0354,0.4363,0.544
0.284756,0.3284,-0.0470,0.4429,0.553
0.289300,0.3026,-0.0518,0.4424,0.538
0.294014,0.2782,-0.0595,0.4372,0.522
0.299674,0.2507,-0.0462,0.4201,0.491
0.304531,0.2535,-0.0358,0.3792,0.458
0.313739,0.2221,-0.0332,0.3146,0.387
0.314255,0.2164,0.0142,0.2836,0.357
0.318039,0.1770,0.0182,0.2241,0.286
0.323278,0.1658,0.0502,0.1646,0.239
0.328223,0.1068,0.0581,0.1077,0.162
0.332816,0.0835,0.0754,0.0580,0.127
0.337686,0.0433,0.0688,0.0204,0.084
0.342243,-0.0236,0.0815,-0.0364,0.092
0.347350,-0.0288,0.0683,-0.0763,0.106
0.352006,-0.0489,0.0295,-0.1354,0.147
0.356918,-0.0911,-0.0228,-0.1658,0.191
0.361783,-0.1052,-0.0550,-0.2225,0.252
