time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002219,0.5456,-0.3652,0.0751,0.661
0.006730,0.6935,-0.3357,0.0919,0.776
0.011957,0.7490,-0.2963,0.0705,0.809
0.017028,0.7653,-0.2874,-0.0195,0.818
0.021437,0.7435,-0.2303,-0.1255,0.788
0.026427,0.6747,-0.1661,-0.1832,0.719
0.033024,0.5380,-0.0830,-0.1622,0.568
0.035932,0.4525,-0.0146,-0.0940,0.462
0.040995,0.3610,0.0653,-0.0454,0.370
0.045770,0.2895,0.1067,-0.0115,0.309
0.051653,0.2406,0.1194,-0.0444,0.272
0.055672,0.1952,0.1653,-0.0842,0.269
0.059516,0.1536,0.1851,-0.1239,0.271
0.072177,0.1109,0.2122,-0.1420,0.278
0.072765,0.0623,0.2206,-0.1506,0.274
0.074558,0.0482,0.2438,-0.1830,0.309
0.079765,0.0302,0.2768,-0.2011,0.344
0.085039,0.0203,0.3127,-0.2121,0.378
0.094417,0.0421,0.2967,-0.2208,0.372
0.094750,0.0550,0.3241,-0.2296,0.401
0.099178,0.0473,0.2880,-0.2266,0.369
0.103915,0.0783,0.3098,-0.2167,0.386
0.111079,0.0764,0.3037,-0.1809,0.362
0.114142,0.0937,0.2698,-0.1455,0.321
0.118961,0.1157,0.2440,-0.0843,0.283
0.123410,0.1542,0.2189,-0.0594,0.274
0.128297,0.1664,0.1923,-0.0537,0.260
0.132961,0.1786,0.1831,-0.0386,0.259
0.137961,0.1861,0.1671,0.0332,0.252
0.142522,0.2386,0.1517,0.0807,0.294
0.147419,0.2598,0.1317,0.1183,0.314
0.152053,0.2881,0.1548,0.1437,0.357
0.156924,0.3259,0.1562,0.1926,0.410
0.161780,0.3538,0.1600,0.2530,0.463
0.167021,0.4266,0.1780,0.2726,0.537
0.171610,0.4511,0.1650,0.2731,0.552
0.176293,0.4563,0.1709,0.2688,0.557
0.181217,0.4378,0.1462,0.2456,0.523
0.186443,0.4292,0.1385,0.2297,0.506
0.190939,0.4424,0.1596,0.2115,0.516
0.196504,0.3963,0.1570,0.2740,0.507
0.200932,0.3148,0.1498,0.3527,0.496
0.205656,0.2600,0.1523,0.3928,0.495
0.210532,0.2341,0.1406,0.4350,0.514
0.215462,0.1940,0.0908,0.5338,0.575
0.219597,0.1824,0.0600,0.5986,0.629
0.224982,0.1941,0.0052,0.6702,0.698
0.230143,0.1959,-0.0356,0.7104,0.738
0.234479,0.1711,-0.0628,0.7291,0.752
0.239603,0.1440,-0.0719,0.7264,0.744
0.244371,0.1407,-0.0867,0.7405,0.759
0.253987,0.1633,-0.1570,0.6787,0.715
0.254619,0.2426,-0.2915,0.4158,0.563
0.258839,0.1433,-0.1645,0.5466,0.589
0.265483,0.1410,-0.1413,0.6719,0.701
0.268412,0.1354,-0.1497,0.5802,0.614
0.273224,0.1365,-0.1844,0.4206,0.479
0.278092,0.1088,-0.1978,0.2671,0.350
0.283465,0.0428,-0.1495,0.2977,0.336
0.288057,-0.0285,-0.0637,0.3376,0.345
0.296929,-0.1122,-0.0285,0.3274,0.347
0.297853,-0.1463,-0.0174,0.2604,0.299
0.302887,-0.1928,0.0006,0.2130,0.287
0.307240,-0.2471,0.0041,0.1448,0.286
0.312497,-0.2805,0.0007,0.0534,0.286
0.317385,-0.3433,0.0262,-0.0182,0.345
0.322342,-0.3925,0.0310,-0.0607,0.398
0.327246,-0.4334,0.0581,-0.0174,0.438
0.331922,-0.4241,0.0695,0.0968,0.441
0.336469,-0.3653,0.0083,0.1484,0.394
0.341453,-0.2753,-0.1061,0.0145,0.295
0.354923,-0.1485,-0.2310,-0.1491,0.312
0.355885,-0.0318,-0.2954,-0.2117,0.365
0.356320,0.0180,-0.3050,-0.1622,0.346
0.360903,0.0637,-0.3225,-0.0823,0.339
0.366300,0.0984,-0.2840,-0.0101,0.301
0.370629,0.1366,-0.2709,0.0425,0.306
0.375334,0.1430,-0.2287,0.0733,0.280
0.387561,0.1465,-0.2124,0.1205,0.285
0.388238,0.1353,-0.1766,0.1057,0.246
0.389686,0.1144,-0.1738,0.0530,0.215
0.395033,0.0578,-0.1511,-0.0349,0.166
0.399258,-0.0247,-0.1372,-0.1268,0.188
0.404304,-0.1022,-0.1078,-0.1658,0.223
0.409009,-0.1873,-0.0817,-0.1808,0.273
0.414181,-0.2567,-0.0587,-0.1790,0.318
0.419135,-0.3226,-0.0099,-0.2793,0.427
0.423521,-0.3757,-0.0041,-0.3883,0.540
0.428607,-0.4350,-0.0024,-0.4846,0.651
0.433929,-0.4794,0.0094,-0.5232,0.710
0.438165,-0.4927,0.0599,-0.5307,0.727
0.443194,-0.5559,0.0919,-0.5430,0.783
0.448223,-0.5666,0.1176,-0.5932,0.829
0.452709,-0.5963,0.1323,-0.6407,0.885
0.457977,-0.6330,0.1577,-0.6262,0.904
0.470680,-0.6247,0.1152,-0.5906,0.867
0.471612,-0.6429,0.0833,-0.5553,0.854
0.472173,-0.6210,0.0858,-0.5417,0.829
0.476964,-0.6256,0.0485,-0.5069,0.807
0.483285,-0.6446,0.0166,-0.4748,0.801
0.486583,-0.6282,0.0067,-0.3813,0.735
0.491630,-0.6361,-0.0124,-0.3170,0.711
0.498004,-0.6042,-0.0525,-0.2533,0.657
0.500974,-0.5731,-0.0827,-0.2446,0.629
0.506155,-0.5212,-0.1363,-0.2573,0.597
0.511308,-0.5033,-0.1587,-0.2153,0.570
0.515755,-0.4738,-0.1620,-0.2211,0.547
0.520704,-0.4614,-0.1869,-0.1936,0.534
0.525260,-0.4354,-0.1998,-0.1616,0.506
0.530436,-0.4240,-0.1866,-0.1416,0.484
0.535345,-0.4033,-0.1665,-0.1835,0.473
0.539456,-0.3993,-0.1821,-0.1965,0.481
0.552869,-0.3714,-0.1857,-0.1858,0.455
0.553850,-0.3341,-0.2036,-0.1585,0.422
0.554754,-0.3209,-0.1785,-0.1291,0.389
