time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003256,0.2488,-0.1774,0.5304,0.612
0.003978,0.2224,-0.1040,0.4074,0.476
0.004285,0.1201,-0.0031,0.4326,0.449
0.004580,0.1015,0.0847,0.4197,0.440
0.006071,0.0640,0.1171,0.4045,0.426
0.010470,0.0720,0.1968,0.3372,0.397
0.015102,0.1062,0.2454,0.2538,0.369
0.022884,0.0291,0.2847,0.1498,0.323
0.025381,0.0011,0.3148,0.0395,0.317
0.029875,0.0026,0.3407,-0.0225,0.341
0.034477,-0.0021,0.3790,-0.0413,0.381
0.039340,0.0060,0.4226,-0.0718,0.429
0.044674,-0.0110,0.4215,-0.1211,0.439
0.049203,-0.0436,0.4637,-0.1439,0.487
0.054287,-0.0631,0.4801,-0.1500,0.507
0.059035,-0.0652,0.4709,-0.1181,0.490
0.063638,-0.0455,0.4646,-0.0675,0.472
0.068850,-0.0404,0.4423,-0.0197,0.445
0.080155,-0.0188,0.4253,0.0182,0.426
0.081228,-0.0047,0.4180,0.0464,0.421
0.082991,0.0090,0.3943,0.0505,0.398
0.088081,0.0176,0.3613,0.0784,0.370
0.092813,0.0257,0.3404,0.1322,0.366
0.097592,-0.0001,0.3027,0.1737,0.349
0.102362,-0.0287,0.2959,0.2053,0.361
0.107707,-0.0578,0.2839,0.2107,0.358
0.113135,-0.0754,0.2835,0.2065,0.359
0.116926,-0.0864,0.2827,0.2190,0.368
0.121700,-0.1001,0.2931,0.2005,0.369
0.127075,-0.0810,0.3006,0.2226,0.383
0.131603,-0.0979,0.3194,0.2232,0.402
0.137264,-0.1243,0.3161,0.2024,0.395
0.141553,-0.1484,0.3244,0.1723,0.396
0.146266,-0.1841,0.3346,0.1424,0.408
0.150764,-0.2195,0.3184,0.0820,0.395
0.155589,-0.2401,0.3023,0.0220,0.387
0.160632,-0.2818,0.2980,-0.0256,0.411
0.165427,-0.2991,0.3034,-0.0633,0.431
0.179728,-0.3423,0.3185,-0.1030,0.479
0.180842,-0.3372,0.3148,-0.1757,0.494
0.181474,-0.3675,0.3045,-0.2170,0.524
0.184857,-0.4136,0.3210,-0.2033,0.562
0.195987,-0.3948,0.3048,-0.1637,0.525
0.196920,-0.3381,0.2823,-0.1292,0.459
0.199255,-0.2865,0.2629,-0.1258,0.409
0.209036,-0.2375,0.2206,-0.1248,0.347
0.209658,-0.1980,0.1792,-0.1405,0.302
0.213685,-0.2034,0.1290,-0.1395,0.278
0.218653,-0.2035,0.1008,-0.0839,0.242
0.223536,-0.2056,0.0752,-0.0098,0.219
0.228367,-0.2144,0.0686,0.0424,0.229
0.233287,-0.2349,0.0544,0.0870,0.256
0.237901,-0.2624,0.0398,0.1502,0.305
0.243062,-0.2944,0.0388,0.2105,0.364
0.247873,-0.3170,0.0629,0.2395,0.402
0.253286,-0.3304,0.0976,0.2588,0.431
0.257816,-0.3489,0.1189,0.2566,0.449
0.262527,-0.3678,0.1602,0.2165,0.456
0.266645,-0.3490,0.1835,0.1743,0.431
0.278221,-0.3193,0.1913,0.1160,0.390
0.279066,-0.2714,0.1842,0.0392,0.330
0.284495,-0.2245,0.1433,-0.0536,0.272
0.287340,-0.1641,0.1407,-0.1195,0.247
0.291660,-0.1023,0.0978,-0.1468,0.204
0.296075,-0.0700,0.1172,-0.1573,0.208
0.301055,-0.0362,0.1322,-0.1416,0.197
0.306695,-0.0410,0.1619,-0.1331,0.214
0.310668,-0.0626,0.2037,-0.1461,0.258
0.315566,-0.1029,0.2433,-0.1519,0.305
0.320582,-0.1424,0.2807,-0.1766,0.361
0.325256,-0.1715,0.3086,-0.1774,0.395
0.330058,-0.2138,0.3249,-0.1948,0.435
0.334962,-0.2432,0.3484,-0.1931,0.467
0.339931,-0.3140,0.3389,-0.1867,0.498
0.344664,-0.3335,0.3557,-0.1947,0.525
0.349551,-0.3568,0.3607,-0.1931,0.543
0.355517,-0.3935,0.3374,-0.1915,0.553
0.364106,-0.3938,0.3309,-0.1781,0.544
0.364813,-0.3724,0.2796,-0.1743,0.497
0.380220,-0.3511,0.2881,-0.1539,0.480
0.381446,-0.3370,0.2445,-0.1527,0.443
0.382014,-0.2825,0.2443,-0.1396,0.399
0.383421,-0.2427,0.2441,-0.1338,0.369
0.388150,-0.2103,0.2134,-0.1113,0.320
0.393217,-0.1641,0.1853,-0.1129,0.272
0.398068,-0.1422,0.1718,-0.1144,0.251
0.402856,-0.1350,0.1515,-0.1135,0.232
0.407711,-0.1115,0.1385,-0.0888,0.199
0.412657,-0.1147,0.1327,-0.0644,0.187
0.417382,-0.1280,0.1270,-0.0497,0.187
0.422480,-0.1414,0.1329,-0.0445,0.199
0.427422,-0.1407,0.1577,-0.0513,0.217
0.431847,-0.1500,0.1558,-0.0390,0.220
0.436988,-0.1666,0.1843,-0.0031,0.248
