time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004171,0.5028,-0.8624,1.3708,1.696
0.004559,0.3695,-0.7319,1.2771,1.518
0.006277,0.2560,-0.6356,1.1814,1.366
0.010003,0.1505,-0.5399,1.0885,1.224
0.015597,0.0533,-0.4280,1.0365,1.123
0.020380,-0.0335,-0.3118,1.0038,1.052
0.030063,-0.2138,-0.1461,0.9931,1.026
0.030763,-0.0663,-0.0788,0.7724,0.779
0.034891,0.0220,-0.0692,0.5808,0.585
0.039951,-0.0777,-0.0075,0.5330,0.539
0.046480,-0.1874,0.0799,0.4495,0.494
0.049469,-0.2177,0.1882,0.2992,0.415
0.055613,-0.2355,0.2601,0.1659,0.388
0.059502,-0.2120,0.3245,0.1330,0.410
0.063919,-0.2333,0.3934,0.0690,0.463
0.068631,-0.2635,0.4602,-0.0021,0.530
0.074340,-0.2449,0.4913,-0.0756,0.554
0.078532,-0.2375,0.5516,-0.1468,0.618
0.083102,-0.2439,0.5362,-0.1702,0.613
0.088230,-0.2523,0.5193,-0.1698,0.602
0.092893,-0.2341,0.4843,-0.1910,0.571
0.097988,-0.1939,0.4647,-0.2625,0.568
0.102812,-0.1580,0.4415,-0.3149,0.565
0.112957,-0.1410,0.4266,-0.3554,0.573
0.113760,-0.1142,0.4129,-0.3506,0.554
0.117462,-0.1230,0.4049,-0.3268,0.535
0.122295,-0.1313,0.4169,-0.2769,0.517
0.127011,-0.1180,0.4106,-0.2318,0.486
0.132144,-0.1024,0.4074,-0.1630,0.451
0.140216,-0.1085,0.3832,-0.1277,0.418
0.141809,-0.0862,0.3522,-0.0830,0.372
0.146150,-0.0904,0.2807,-0.0860,0.307
0.150974,-0.0922,0.2502,-0.0628,0.274
0.156614,-0.0893,0.2028,-0.0229,0.223
0.160571,-0.0962,0.1888,0.0171,0.213
0.165549,-0.0867,0.1719,0.1263,0.230
0.171008,-0.0780,0.1595,0.1997,0.267
0.176198,-0.0294,0.1105,0.2253,0.253
0.180132,-0.0318,0.0681,0.1913,0.206
0.185017,-0.0325,0.0513,0.1574,0.169
0.190286,-0.0529,0.0407,0.1238,0.141
0.194765,-0.0523,0.0605,0.0998,0.128
0.199350,-0.0760,0.1247,0.0832,0.168
0.206504,-0.1051,0.1594,0.0571,0.199
0.209612,-0.1320,0.1670,0.0216,0.214
0.214224,-0.1662,0.2004,-0.0473,0.265
0.218953,-0.1855,0.1998,-0.1137,0.295
0.224322,-0.1566,0.1798,-0.1585,0.286
0.228681,-0.1419,0.1742,-0.1650,0.279
0.233556,-0.1395,0.1494,-0.1738,0.268
0.238483,-0.1876,0.1201,-0.2114,0.307
0.243151,-0.2693,0.1794,-0.2393,0.402
0.248471,-0.3271,0.2292,-0.2863,0.491
0.253274,-0.4112,0.3032,-0.3356,0.611
0.257640,-0.4786,0.3797,-0.3777,0.718
0.262450,-0.4884,0.4635,-0.4150,0.791
0.267723,-0.4766,0.5022,-0.4547,0.828
0.273242,-0.4669,0.5151,-0.5064,0.860
0.277240,-0.4469,0.5549,-0.5701,0.913
0.281984,-0.4049,0.5597,-0.6171,0.926
0.287960,-0.3836,0.5726,-0.6427,0.942
0.293963,-0.3830,0.5651,-0.6637,0.952
0.296605,-0.3270,0.5850,-0.6442,0.930
0.301213,-0.2923,0.5919,-0.6081,0.898
0.306238,-0.2698,0.5976,-0.5649,0.865
0.317081,-0.2209,0.5782,-0.5435,0.824
0.317628,-0.2056,0.5481,-0.5126,0.778
0.322417,-0.2093,0.5261,-0.4866,0.747
0.325964,-0.1648,0.5172,-0.4752,0.721
0.330300,-0.1649,0.4637,-0.4758,0.684
0.334983,-0.1622,0.4227,-0.3666,0.583
0.340352,-0.1287,0.4254,-0.1308,0.463
0.344714,-0.0622,0.3613,-0.0124,0.367
0.349539,0.0228,0.2831,0.0628,0.291
0.354481,0.1096,0.2406,0.0974,0.282
0.359333,0.1745,0.1618,0.1010,0.259
0.364083,0.2136,0.1041,0.0544,0.244
0.370058,0.2294,0.0908,-0.0064,0.247
0.373816,0.2247,0.1148,-0.0098,0.253
0.378724,0.1874,0.1640,0.0131,0.249
0.383641,0.1557,0.2190,0.0168,0.269
0.388740,0.1082,0.2680,0.0039,0.289
0.393293,0.0232,0.3017,-0.0066,0.303
0.398221,-0.0231,0.2889,-0.0696,0.298
0.406903,-0.0835,0.3066,-0.1516,0.352
0.409066,-0.1414,0.3026,-0.2526,0.419
0.412921,-0.1683,0.2700,-0.3607,0.481
0.417538,-0.1906,0.2187,-0.4160,0.507
0.422849,-0.1918,0.2064,-0.4545,0.535
0.427511,-0.1768,0.1853,-0.4859,0.549
0.432306,-0.1531,0.1629,-0.4909,0.539
0.436821,-0.1134,0.1319,-0.5031,0.532
0.441983,-0.0579,0.0923,-0.5176,0.529
0.446563,0.0067,0.0822,-0.5059,0.513
0.451219,0.0513,0.0486,-0.5025,0.507
0.456582,0.0909,0.0227,-0.4613,0.471
0.461239,0.1018,0.0234,-0.4299,0.442
0.465960,0.1009,0.0217,-0.3608,0.375
0.470874,0.0694,0.0389,-0.3088,0.319
0.475658,0.0764,0.0391,-0.2621,0.276
0.480430,0.0741,0.0674,-0.2181,0.240
0.485585,0.0934,0.0664,-0.1721,0.207
0.490214,0.1152,0.0720,-0.1454,0.199
0.494840,0.0801,0.0674,-0.1046,0.148
0.499970,0.0929,0.0362,-0.0761,0.125
0.505237,0.0796,0.0309,-0.0548,0.101
0.509158,0.0664,0.0227,-0.0337,0.078
0.519447,0.0841,0.0236,-0.0602,0.106
0.520232,0.0661,0.0430,-0.0509,0.094
0.524115,0.0695,0.0761,-0.0511,0.115
0.529001,0.0798,0.1087,0.0081,0.135
0.533725,0.0871,0.1335,0.0052,0.159
0.539064,0.0820,0.1599,0.0545,0.188
0.543641,0.1097,0.2142,0.0893,0.257
0.548353,0.1438,0.2319,0.1049,0.292
0.553695,0.1487,0.2536,0.1227,0.319
0.558363,0.1700,0.2959,0.1097,0.358
0.563078,0.1955,0.3324,0.0683,0.392
0.567950,0.2230,0.3633,0.0771,0.433
0.572658,0.2002,0.4315,0.0717,0.481
0.577371,0.1961,0.4537,0.1115,0.507
0.582222,0.1514,0.5207,0.1343,0.559
0.587077,0.1114,0.5372,0.1238,0.562
0.592018,0.1001,0.5465,0.0873,0.562
0.596952,0.0626,0.5821,0.0060,0.586
0.605628,0.0305,0.5800,-0.0818,0.587
0.606467,-0.0296,0.6069,-0.1476,0.625
0.611063,-0.0696,0.6227,-0.1963,0.657
0.616579,-0.1515,0.6322,-0.2352,0.691
0.621239,-0.1967,0.6238,-0.2194,0.690
0.625799,-0.2507,0.6120,-0.1990,0.691
0.630870,-0.2994,0.5898,-0.1599,0.680
0.635467,-0.3477,0.5713,-0.1426,0.684
0.640828,-0.4168,0.5636,-0.1113,0.710
0.645445,-0.4519,0.5712,-0.0613,0.731
0.650156,-0.4507,0.6008,-0.0285,0.752
0.655541,-0.4442,0.6450,-0.0102,0.783
0.660095,-0.4633,0.6821,0.0340,0.825
0.664476,-0.4556,0.6953,0.0849,0.836
0.669378,-0.4474,0.7106,0.1069,0.846
0.674743,-0.4340,0.7162,0.1168,0.846
0.679539,-0.4039,0.7026,0.1552,0.825
0.683823,-0.3574,0.6889,0.1766,0.796
0.688944,-0.3399,0.6157,0.1836,0.727
0.693607,-0.2896,0.5762,0.1598,0.664
0.698894,-0.2617,0.5512,0.1529,0.629
0.704842,-0.2108,0.4933,0.1484,0.557
0.708382,-0.1779,0.4618,0.1202,0.509
0.713257,-0.1793,0.4210,0.0876,0.466
0.723465,-0.1319,0.3899,0.1028,0.424
0.724208,-0.1025,0.3445,0.1061,0.375
0.727738,-0.0765,0.3703,0.0620,0.383
0.732692,-0.0633,0.3597,0.0301,0.366
0.737642,-0.0459,0.3887,0.0319,0.393
0.742241,-0.0718,0.4282,0.0266,0.435
0.747179,-0.0933,0.4779,0.0214,0.487
0.752315,-0.0887,0.4926,0.0282,0.501
0.757779,-0.1152,0.5388,-0.0052,0.551
0.761931,-0.1224,0.5569,-0.0525,0.573
