time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007775,0.2696,-0.3437,0.2508,0.504
0.008348,0.2805,-0.2222,0.1458,0.386
0.014643,0.2536,-0.1746,-0.0059,0.308
0.015156,0.2245,-0.1429,-0.1730,0.317
0.019031,0.1624,-0.1763,-0.3175,0.398
0.023657,0.1341,-0.1578,-0.4587,0.503
0.028402,0.1060,-0.1208,-0.5729,0.595
0.033337,0.0639,-0.0488,-0.6270,0.632
0.038627,0.0196,0.0055,-0.5978,0.598
0.043286,-0.0409,0.1228,-0.5359,0.551
0.048133,-0.0793,0.2312,-0.4842,0.542
0.053105,-0.0955,0.2879,-0.4663,0.556
0.057842,-0.0941,0.3452,-0.4416,0.568
0.062301,-0.0918,0.3507,-0.4078,0.546
0.067484,-0.0719,0.3070,-0.3364,0.461
0.072310,-0.0324,0.2715,-0.2965,0.403
0.077120,-0.0159,0.2296,-0.2334,0.328
0.082191,-0.0037,0.2148,-0.1684,0.273
0.086807,-0.0099,0.1672,-0.0828,0.187
0.095292,-0.0012,0.1228,-0.0287,0.126
0.098048,0.0245,0.0887,0.0272,0.096
0.101197,0.0478,0.0575,0.1229,0.144
0.108367,0.0472,-0.0018,0.2084,0.214
0.114002,0.0703,-0.0320,0.2932,0.303
0.116333,0.0813,-0.0929,0.3488,0.370
0.120975,0.0612,-0.1037,0.4372,0.453
0.125656,0.0861,-0.1364,0.5012,0.526
0.130245,0.0509,-0.1599,0.5885,0.612
0.134738,0.0439,-0.1510,0.6610,0.679
0.139723,0.0410,-0.1408,0.6974,0.713
0.144475,0.0281,-0.1273,0.7005,0.713
0.149384,0.0075,-0.1271,0.7132,0.725
0.154308,-0.0038,-0.1308,0.6999,0.712
0.163296,-0.0203,-0.1264,0.6773,0.689
0.164159,-0.0132,-0.1068,0.6575,0.666
0.169191,-0.0162,-0.1291,0.6499,0.663
0.173520,-0.0124,-0.1261,0.6258,0.639
0.178782,-0.0091,-0.1408,0.5807,0.598
0.183635,-0.0251,-0.1658,0.5100,0.537
0.191161,-0.0153,-0.1793,0.4115,0.449
0.193216,-0.0580,-0.1980,0.3352,0.394
0.198126,-0.0628,-0.1813,0.2620,0.325
0.204312,-0.0893,-0.1532,0.1942,0.263
0.208094,-0.1324,-0.0972,0.0985,0.192
0.212687,-0.1919,-0.0297,0.0677,0.206
0.217384,-0.2249,0.0632,0.0087,0.234
0.222305,-0.2575,0.0865,-0.0664,0.280
0.227470,-0.2588,0.1502,-0.1338,0.328
0.231976,-0.2598,0.1755,-0.1983,0.371
0.237828,-0.2439,0.1986,-0.2836,0.424
0.242087,-0.2275,0.2314,-0.3707,0.493
0.246663,-0.2061,0.2433,-0.4168,0.525
0.251426,-0.1820,0.2725,-0.4104,0.525
0.256361,-0.1580,0.2643,-0.3852,0.493
0.261212,-0.1197,0.2690,-0.3745,0.476
0.265984,-0.0982,0.3008,-0.3759,0.491
0.271007,-0.0527,0.2741,-0.3775,0.469
0.275732,-0.0380,0.2653,-0.3673,0.455
0.280426,-0.0182,0.2600,-0.3431,0.431
0.285559,-0.0005,0.2485,-0.2836,0.377
0.290213,0.0387,0.2379,-0.2461,0.344
0.295015,0.0613,0.2351,-0.1876,0.307
0.299944,0.0701,0.2589,-0.1486,0.307
0.306681,0.1006,0.2448,-0.0721,0.274
0.310890,0.1126,0.2168,-0.0152,0.245
0.313831,0.1439,0.2031,0.0388,0.252
0.319483,0.1731,0.1989,0.0971,0.281
0.324898,0.1929,0.1778,0.1194,0.288
0.328802,0.2084,0.1753,0.1795,0.326
0.333112,0.2076,0.1769,0.1893,0.332
0.338720,0.2025,0.1754,0.2134,0.342
0.343488,0.1858,0.1754,0.2255,0.341
0.348237,0.1741,0.1770,0.2542,0.355
0.353770,0.1576,0.1823,0.2401,0.340
0.358264,0.1409,0.1891,0.2475,0.342
0.363646,0.1286,0.1974,0.2265,0.327
0.367441,0.1228,0.1789,0.1868,0.286
0.372703,0.1189,0.1789,0.1049,0.239
0.377383,0.0886,0.1522,0.0331,0.179
0.382262,0.1406,0.0948,-0.0213,0.171
0.387192,0.1603,0.0640,-0.0706,0.187
0.391811,0.1505,0.0529,-0.1218,0.201
0.396775,0.1540,0.0494,-0.1584,0.226
0.401825,0.1426,0.0681,-0.2114,0.264
0.406459,0.1096,0.0709,-0.2664,0.297
0.411255,0.0746,0.0815,-0.3613,0.378
0.416234,0.0400,0.1142,-0.4034,0.421
0.426991,-0.0013,0.1238,-0.4215,0.439
0.427796,-0.0635,0.1339,-0.4087,0.435
0.430915,-0.1467,0.1470,-0.3794,0.433
