time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004726,0.1695,-0.4803,0.8277,0.972
0.005095,0.2819,-0.5423,0.8726,1.065
0.005344,0.3482,-0.6195,0.8649,1.119
0.009491,0.4104,-0.5696,0.6961,0.989
0.014141,0.2132,-0.3502,0.2060,0.459
0.018925,-0.1002,-0.0928,0.1236,0.184
0.030737,0.0847,-0.1125,0.0417,0.147
0.031213,0.1106,-0.2051,0.0531,0.239
0.033519,0.0018,-0.2274,-0.1562,0.276
0.038737,0.0378,-0.2064,-0.4302,0.479
0.044039,0.0575,-0.1540,-0.3008,0.343
0.048195,-0.0421,-0.0492,-0.1890,0.200
0.052705,-0.1176,0.0411,-0.1875,0.225
0.057487,-0.1616,0.0956,-0.1622,0.248
0.062742,-0.1911,0.1213,-0.1394,0.266
0.072671,-0.1846,0.1350,-0.1264,0.261
0.073228,-0.1782,0.1392,-0.1205,0.256
0.077236,-0.1865,0.1480,-0.1029,0.259
0.081962,-0.1809,0.1614,-0.1186,0.270
0.088979,-0.1777,0.1797,-0.1841,0.313
0.091952,-0.2103,0.1981,-0.2395,0.375
0.096626,-0.2096,0.2023,-0.2779,0.403
0.101368,-0.1925,0.1950,-0.2993,0.406
0.113594,-0.1712,0.1667,-0.3277,0.406
0.114263,-0.1146,0.1534,-0.3132,0.367
0.115769,-0.0489,0.1285,-0.3107,0.340
0.120675,-0.0122,0.1042,-0.2773,0.296
0.125986,0.0147,0.1468,-0.2300,0.273
0.132321,0.0199,0.1512,-0.2091,0.259
0.135112,0.0274,0.1722,-0.1837,0.253
0.141636,0.0634,0.2099,-0.1680,0.276
0.145086,0.0802,0.2308,-0.1785,0.303
0.149416,0.1136,0.2186,-0.1961,0.315
0.155205,0.1373,0.2186,-0.2135,0.335
0.159396,0.1799,0.2001,-0.2189,0.347
0.164623,0.1701,0.1846,-0.2266,0.338
0.169309,0.1725,0.2007,-0.2603,0.371
0.173742,0.1798,0.2243,-0.2416,0.375
0.178747,0.1492,0.2127,-0.1969,0.326
0.183949,0.1355,0.2205,-0.1858,0.319
0.188703,0.1293,0.1930,-0.1606,0.282
0.193291,0.1042,0.1730,-0.1213,0.236
0.198265,0.1103,0.1748,-0.0918,0.226
0.203146,0.0904,0.1648,-0.0745,0.202
0.207889,0.0733,0.1645,-0.0691,0.193
0.212904,0.0706,0.1642,-0.0543,0.187
0.217502,0.0420,0.1521,-0.0562,0.167
0.229634,0.0493,0.1378,-0.0486,0.154
0.230290,0.0544,0.1071,-0.0719,0.140
0.232226,0.0477,0.0909,-0.0665,0.122
0.237046,0.0365,0.0843,-0.0541,0.107
0.246685,0.0518,0.0636,-0.0369,0.090
0.247254,0.0458,0.0574,-0.0342,0.081
0.251444,0.0542,0.0299,-0.0219,0.066
0.257785,0.0436,0.0525,-0.0098,0.069
0.261281,0.0425,0.0275,0.0212,0.055
0.265989,0.0414,0.0644,0.0092,0.077
0.272943,0.0567,0.0347,0.0045,0.067
0.275339,0.0766,0.0219,-0.0121,0.081
0.281864,0.0844,-0.0002,-0.0238,0.088
0.285364,0.0825,-0.0171,-0.0355,0.091
0.290332,0.0900,-0.0244,-0.0422,0.102
0.295110,0.0974,-0.0220,-0.0442,0.109
0.300053,0.0643,-0.0575,-0.0343,0.093
0.307627,0.0218,-0.0429,-0.0412,0.063
0.313021,-0.0134,-0.0377,-0.0171,0.043
0.314431,-0.0414,-0.0515,-0.0193,0.069
0.319614,-0.0505,-0.0531,0.0069,0.074
0.324516,-0.0763,-0.0641,0.0210,0.102
0.329086,-0.0854,-0.0680,0.0445,0.118
0.333832,-0.0944,-0.0672,0.0678,0.134
0.338744,-0.1056,-0.0809,0.0909,0.161
0.343496,-0.1072,-0.0901,0.1186,0.183
0.348666,-0.1086,-0.0947,0.1295,0.194
0.353348,-0.1147,-0.0832,0.1403,0.199
0.358186,-0.1255,-0.0672,0.1415,0.201
0.363038,-0.1241,-0.0802,0.1213,0.191
0.370302,-0.1176,-0.0933,0.0966,0.179
0.372970,-0.1206,-0.1042,0.1125,0.195
0.377486,-0.1045,-0.0890,0.0997,0.170
0.382822,-0.1076,-0.0930,0.0989,0.173
0.388017,-0.0870,-0.0877,0.1100,0.165
0.392003,-0.0738,-0.1134,0.0997,0.168
0.397101,-0.0654,-0.1058,0.0823,0.149
0.402089,-0.0572,-0.0936,0.0745,0.133
0.406559,-0.0443,-0.1076,0.0906,0.147
0.411464,-0.0007,-0.0883,0.0661,0.110
0.416629,0.0115,-0.0811,0.0680,0.106
0.423786,-0.0145,-0.0715,0.0627,0.096
0.426156,-0.0001,-0.0526,0.0503,0.073
0.430462,-0.0073,-0.0647,0.0356,0.074
0.436054,-0.0027,-0.0697,0.0282,0.075
0.440725,0.0111,-0.0629,0.0303,0.071
0.445346,0.0295,-0.0893,0.0277,0.098
0.450183,0.0168,-0.0942,0.0013,0.096
0.455052,0.0136,-0.0729,0.0203,0.077
0.459783,-0.0087,-0.0566,0.0224,0.062
0.464876,-0.0119,-0.0311,0.0317,0.046
0.469735,-0.0485,-0.0250,0.0290,0.062
0.475176,-0.0515,-0.0310,0.0287,0.067
0.479382,-0.0474,-0.0133,0.0189,0.053
0.486613,-0.0339,-0.0171,0.0211,0.043
0.489008,-0.0487,-0.0327,-0.0124,0.060
0.493949,-0.0372,-0.0031,-0.0242,0.044
0.498975,-0.0161,-0.0164,-0.0335,0.041
0.503823,-0.0213,-0.0106,-0.0332,0.041
0.508756,-0.0192,0.0143,-0.0282,0.037
0.513448,0.0112,0.0249,-0.0327,0.043
0.517892,0.0414,0.0284,-0.0182,0.053
0.530072,0.0429,0.0202,-0.0229,0.053
0.531039,0.0586,0.0193,-0.0274,0.068
0.532729,0.0768,0.0280,-0.0272,0.086
0.537860,0.0568,0.0319,0.0038,0.065
0.542440,0.0727,0.0310,0.0275,0.084
0.547114,0.0505,0.0633,0.0297,0.086
0.552016,0.0545,0.0526,0.0128,0.077
0.557006,0.0562,0.0561,0.0269,0.084
0.561552,0.0698,0.0547,0.0053,0.089
0.566299,0.0621,0.0628,-0.0089,0.089
0.571507,0.0642,0.0352,-0.0302,0.079
0.576189,0.0687,0.0076,-0.0275,0.074
0.580923,0.0377,0.0086,-0.0296,0.049
0.585966,0.0258,0.0167,-0.0222,0.038
0.590512,-0.0051,0.0531,-0.0315,0.062
0.595570,0.0070,0.0727,-0.0264,0.078
0.600537,-0.0072,0.0732,-0.0309,0.080
0.614617,-0.0069,0.0855,-0.0568,0.103
0.615549,-0.0185,0.0788,-0.0444,0.092
0.616001,-0.0158,0.0770,-0.0725,0.107
0.620006,-0.0441,0.0777,-0.0647,0.110
0.626294,-0.0391,0.0880,-0.0665,0.117
0.629692,-0.0413,0.1151,-0.0873,0.150
0.634234,-0.0246,0.1041,-0.1032,0.149
0.639832,-0.0079,0.0627,-0.1119,0.128
0.644354,0.0206,0.0408,-0.1038,0.113
0.648829,0.0512,0.0334,-0.1148,0.130
0.653514,0.0342,0.0240,-0.1020,0.110
0.659248,0.0291,0.0410,-0.0964,0.109
0.663386,-0.0043,0.0463,-0.0814,0.094
0.668576,0.0004,0.0446,-0.0784,0.090
0.673201,-0.0021,0.0241,-0.0611,0.066
0.682521,0.0072,0.0278,-0.0725,0.078
0.683184,0.0141,-0.0041,-0.0482,0.050
0.687870,0.0092,-0.0191,-0.0384,0.044
0.692787,-0.0049,-0.0340,-0.0167,0.038
