time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002722,0.0932,-0.1452,0.2370,0.293
0.002979,0.1329,-0.1445,-0.0802,0.212
0.007465,0.1192,-0.1191,-0.3758,0.412
0.012640,0.1274,-0.0885,-0.6996,0.717
0.017634,0.0976,-0.0758,-0.7596,0.770
0.022330,0.0651,-0.0566,-0.8191,0.824
0.027141,0.0340,-0.0210,-0.8331,0.834
0.031961,-0.0297,0.0288,-0.7735,0.775
0.037099,-0.0974,0.0904,-0.7383,0.750
0.041810,-0.1263,0.1801,-0.7439,0.776
0.048022,-0.1258,0.2071,-0.7708,0.808
0.054254,-0.0438,0.1571,-0.7050,0.724
0.056415,0.0357,0.0659,-0.5544,0.559
0.061143,0.0887,-0.0573,-0.3575,0.373
0.065920,0.1338,-0.0915,-0.1505,0.221
0.070480,0.1304,-0.0879,0.0097,0.158
0.075262,0.0884,-0.0589,0.1212,0.161
0.080271,0.0460,-0.0406,0.1961,0.205
0.085267,0.0507,-0.0114,0.2823,0.287
0.090216,0.0757,-0.0049,0.3132,0.322
0.095007,0.0830,-0.0181,0.3794,0.389
0.099812,0.0962,-0.0417,0.3785,0.393
0.108785,0.1251,-0.0372,0.3825,0.404
0.109859,0.1106,-0.0335,0.3413,0.360
0.114463,0.1125,-0.0446,0.2791,0.304
0.119498,0.0978,-0.0182,0.2436,0.263
0.123905,0.0833,-0.0016,0.2013,0.218
0.129059,0.0570,-0.0066,0.1450,0.156
0.134503,0.0453,0.0004,0.1059,0.115
0.138582,0.0458,0.0147,0.0671,0.083
0.143414,0.0181,-0.0182,0.0523,0.058
0.148558,0.0220,-0.0172,0.0140,0.031
0.153330,0.0002,-0.0206,0.0139,0.025
0.157824,-0.0471,-0.0284,0.0162,0.057
0.162845,-0.0725,-0.0146,0.0470,0.088
0.168011,-0.1306,-0.0031,0.0870,0.157
0.172473,-0.1667,0.0106,0.1172,0.204
0.177318,-0.1881,0.0028,0.1661,0.251
0.182167,-0.2115,0.0233,0.1577,0.265
0.187011,-0.2274,0.0363,0.1850,0.295
0.192117,-0.2122,0.0230,0.1718,0.274
0.196608,-0.2228,0.0216,0.1491,0.269
0.201572,-0.2329,-0.0036,0.1220,0.263
0.206537,-0.2330,0.0116,0.1022,0.255
0.210890,-0.2303,0.0006,0.0945,0.249
0.216096,-0.2298,0.0108,0.0940,0.249
0.221084,-0.2126,0.0041,0.0840,0.229
0.225661,-0.2123,-0.0264,0.0741,0.226
0.230539,-0.1956,-0.0403,0.0738,0.213
0.234980,-0.1866,-0.0592,0.0664,0.207
0.240623,-0.1806,-0.0521,0.0542,0.196
0.245987,-0.1847,-0.0619,0.0208,0.196
0.250185,-0.1490,-0.0671,0.0185,0.164
0.254969,-0.1522,-0.0630,-0.0004,0.165
0.259582,-0.1134,-0.0615,-0.0144,0.130
0.264796,-0.1133,-0.0341,-0.0450,0.127
0.269646,-0.1016,-0.0664,-0.0634,0.137
0.274124,-0.0596,-0.0462,-0.0746,0.106
0.279004,-0.0537,0.0021,-0.0881,0.103
0.284361,-0.0455,0.0288,-0.1015,0.115
0.288907,-0.0351,0.0717,-0.1290,0.152
0.293547,-0.0436,0.0622,-0.1325,0.153
0.299528,-0.0164,0.0765,-0.1739,0.191
0.303398,0.0082,0.0505,-0.1818,0.189
0.312545,0.0089,0.0628,-0.1992,0.209
0.313101,0.0096,0.0846,-0.2140,0.230
0.317796,-0.0015,0.0851,-0.2239,0.240
0.322706,-0.0007,0.0927,-0.2267,0.245
0.329520,-0.0047,0.1218,-0.2532,0.281
0.333123,0.0341,0.1271,-0.2676,0.298
0.337688,0.0371,0.1375,-0.2795,0.314
0.342396,0.0662,0.1221,-0.2866,0.318
0.358077,0.0619,0.1190,-0.2818,0.312
0.358657,0.0649,0.1234,-0.2770,0.310
0.358908,0.0800,0.1494,-0.2628,0.313
0.361877,0.0786,0.1756,-0.2677,0.330
0.366583,0.0892,0.1567,-0.2346,0.296
0.371386,0.1143,0.1667,-0.2302,0.306
0.376531,0.1251,0.1460,-0.2164,0.290
0.383113,0.1216,0.1139,-0.1957,0.257
0.386065,0.1134,0.1060,-0.1632,0.225
0.390462,0.1242,0.0983,-0.1500,0.218
0.395174,0.0966,0.0812,-0.1108,0.168
0.400514,0.0999,0.0927,-0.0862,0.161
0.405535,0.0794,0.0803,-0.0903,0.145
0.410112,0.0683,0.0871,-0.0635,0.128
0.414416,0.0643,0.0654,-0.0607,0.110
0.419969,0.0342,0.0629,-0.0627,0.095
0.424692,0.0233,0.0913,-0.0670,0.116
0.431393,0.0006,0.0887,-0.0594,0.107
0.434671,0.0066,0.0647,-0.0638,0.091
0.439122,-0.0136,0.0197,-0.0562,0.061
0.444107,-0.0241,0.0249,-0.0701,0.078
0.449429,-0.0439,0.0064,-0.0910,0.101
0.453724,-0.0587,-0.0093,-0.0808,0.100
0.458580,-0.0710,-0.0295,-0.0613,0.098
0.464239,-0.0643,-0.0305,-0.0585,0.092
0.468164,-0.0767,-0.0456,-0.0345,0.096
0.473015,-0.0535,-0.0772,-0.0130,0.095
0.478799,-0.0378,-0.0992,0.0155,0.107
0.482956,-0.0105,-0.1091,0.0342,0.115
0.487538,0.0093,-0.1310,0.0693,0.148
0.494741,0.0006,-0.1220,0.0805,0.146
0.498018,-0.0128,-0.0968,0.0702,0.120
0.502402,-0.0163,-0.0838,0.0577,0.103
0.507187,-0.0125,-0.0664,0.0571,0.088
0.515104,-0.0538,-0.0610,0.0684,0.106
0.516915,-0.0638,-0.0297,0.0583,0.091
0.521754,-0.0808,-0.0533,0.0412,0.105
0.526403,-0.1120,-0.0483,0.0100,0.122
0.531344,-0.1192,-0.0409,0.0122,0.127
0.536248,-0.1504,-0.0193,-0.0141,0.152
0.541274,-0.1697,-0.0168,0.0097,0.171
0.549163,-0.1535,-0.0143,0.0095,0.154
0.550445,-0.1494,-0.0189,-0.0168,0.152
0.555171,-0.1217,-0.0231,-0.0381,0.130
0.561466,-0.0822,-0.0652,-0.0474,0.115
0.565278,-0.0571,-0.0688,-0.0472,0.101
0.570184,-0.0177,-0.0602,-0.0374,0.073
0.574768,-0.0019,-0.0683,-0.0135,0.070
0.579853,0.0047,-0.0524,0.0245,0.058
0.584629,0.0137,-0.0627,0.0479,0.080
0.589259,0.0298,-0.0468,0.0925,0.108
0.594939,0.0459,-0.0596,0.1202,0.142
