time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003546,-0.1410,-0.0916,0.4790,0.508
0.004214,-0.1417,-0.0484,0.0350,0.154
0.006408,-0.0850,0.0082,-0.3127,0.324
0.011004,-0.0631,0.0523,-0.5572,0.563
0.016080,-0.0298,0.1321,-0.7318,0.744
0.020671,-0.0128,0.1762,-0.8510,0.869
0.028139,0.0050,0.2206,-0.9197,0.946
0.030696,-0.0070,0.2725,-0.9474,0.986
0.035159,-0.0105,0.2983,-0.9033,0.951
0.039731,-0.0104,0.2953,-0.8327,0.884
0.044939,-0.0232,0.2991,-0.7285,0.788
0.049424,-0.0926,0.3189,-0.5693,0.659
0.054222,-0.1043,0.3112,-0.3480,0.478
0.062098,-0.1353,0.2945,-0.1341,0.351
0.070167,-0.1650,0.2757,0.0702,0.329
0.070709,-0.2083,0.2779,0.2599,0.434
0.084411,-0.2324,0.2698,0.4708,0.590
0.084828,-0.2497,0.2940,0.5740,0.692
0.085060,-0.2678,0.3025,0.6626,0.776
0.087716,-0.2823,0.3119,0.7175,0.832
0.093163,-0.2530,0.3149,0.7221,0.827
0.098457,-0.2446,0.3213,0.7457,0.848
0.107076,-0.2262,0.3357,0.7189,0.825
0.108679,-0.2100,0.3249,0.6872,0.789
0.115927,-0.1956,0.3344,0.6243,0.735
0.118349,-0.1879,0.3786,0.5972,0.732
0.122460,-0.1986,0.3907,0.5318,0.689
0.127231,-0.2181,0.4165,0.4401,0.644
0.132008,-0.2533,0.4132,0.3579,0.603
0.136679,-0.2921,0.4455,0.2758,0.600
0.141753,-0.3150,0.4707,0.1842,0.596
0.146930,-0.3385,0.4792,0.1334,0.602
0.151620,-0.3502,0.4641,0.1041,0.591
0.156254,-0.3548,0.4610,0.1250,0.595
0.161222,-0.3689,0.4342,0.1866,0.600
0.166133,-0.3853,0.4407,0.2576,0.640
0.171028,-0.4418,0.4781,0.3333,0.731
0.180327,-0.4860,0.5104,0.3875,0.804
0.180819,-0.5274,0.5350,0.4272,0.864
0.185489,-0.5707,0.5568,0.4526,0.917
0.190281,-0.6089,0.5522,0.4087,0.918
0.195399,-0.6275,0.5380,0.3887,0.913
0.200017,-0.6431,0.5357,0.3640,0.913
0.204667,-0.6389,0.5334,0.3752,0.913
0.209857,-0.6222,0.5357,0.4342,0.929
0.214137,-0.5715,0.5472,0.4788,0.925
0.219153,-0.5373,0.5632,0.5234,0.938
0.224117,-0.4934,0.5312,0.5249,0.895
0.231022,-0.4424,0.5324,0.5240,0.868
0.233879,-0.3915,0.4691,0.4873,0.781
0.238645,-0.3503,0.4608,0.4434,0.729
0.243452,-0.3069,0.3881,0.4426,0.664
0.248663,-0.2783,0.3513,0.5016,0.673
0.253173,-0.2741,0.3526,0.5676,0.722
0.260662,-0.2442,0.3203,0.6096,0.731
0.263817,-0.2102,0.2709,0.6683,0.751
0.269550,-0.1817,0.2595,0.7197,0.786
0.272433,-0.1560,0.2284,0.7208,0.772
0.278862,-0.1518,0.2110,0.7100,0.756
0.282583,-0.1572,0.2002,0.7159,0.760
0.287095,-0.1672,0.1816,0.6883,0.731
0.292017,-0.1698,0.1768,0.6632,0.707
0.296933,-0.1791,0.1571,0.6094,0.654
0.301390,-0.1805,0.1896,0.5367,0.597
0.313623,-0.2122,0.1597,0.4162,0.494
0.314319,-0.2382,0.1752,0.3581,0.464
0.315672,-0.2776,0.1311,0.2786,0.415
0.322545,-0.2803,0.1327,0.2160,0.378
0.325818,-0.3060,0.1633,0.1583,0.381
0.330922,-0.3022,0.1727,0.0959,0.361
0.335666,-0.3311,0.1920,0.0384,0.385
0.340622,-0.3140,0.2407,-0.0238,0.396
0.345632,-0.2820,0.2757,-0.0930,0.405
0.350101,-0.2568,0.2613,-0.1502,0.396
0.354767,-0.2144,0.2718,-0.2049,0.402
0.359902,-0.2193,0.2689,-0.2331,0.418
0.364757,-0.1712,0.2907,-0.2160,0.401
0.369410,-0.1682,0.3132,-0.1486,0.385
0.376485,-0.1579,0.3288,-0.0622,0.370
0.379318,-0.2097,0.3279,0.0289,0.390
0.384947,-0.1997,0.3150,0.0912,0.384
0.388718,-0.1783,0.2975,0.1247,0.369
0.398496,-0.1770,0.2537,0.1223,0.333
0.399080,-0.2101,0.2293,0.1175,0.332
0.403271,-0.1937,0.2147,0.0600,0.295
0.408457,-0.1783,0.1503,0.0050,0.233
0.412793,-0.1447,0.1390,-0.0165,0.201
0.417799,-0.0788,0.0901,-0.0022,0.120
0.422906,-0.0137,0.0747,0.0096,0.077
0.428546,0.0527,0.0410,0.0284,0.073
0.432614,0.0709,0.0413,0.0304,0.088
0.437326,0.0371,0.0489,0.0657,0.090
0.443467,-0.0507,0.1156,0.1434,0.191
0.447088,0.0170,-0.0201,0.2014,0.203
0.452067,0.0966,-0.1002,0.1784,0.226
0.459548,0.0576,-0.0802,0.1579,0.186
0.462250,-0.0039,-0.0271,0.0878,0.092
0.466498,-0.0828,0.0164,-0.0292,0.089
0.470954,-0.1030,0.0244,-0.1213,0.161
0.480299,-0.1055,-0.0098,-0.1747,0.204
0.481455,-0.0761,-0.0432,-0.1992,0.218
