time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001853,-0.0065,0.0838,-0.2697,0.282
0.002153,0.0211,0.1216,-0.2959,0.321
0.006867,0.0711,0.1265,-0.2247,0.267
0.011694,0.1166,0.1105,-0.1399,0.213
0.015494,0.1551,0.1114,-0.0629,0.201
0.020873,0.1885,0.0697,0.0420,0.205
0.026115,0.1905,0.0658,0.1222,0.236
0.030697,0.1706,0.0473,0.1994,0.267
0.035542,0.1643,0.0449,0.2405,0.295
0.040735,0.1549,0.0348,0.2385,0.286
0.045265,0.1518,0.0219,0.2080,0.258
0.050130,0.1409,0.0015,0.1755,0.225
0.054644,0.1201,0.0071,0.1243,0.173
0.069706,0.1133,-0.0160,0.0593,0.129
0.070426,0.1086,-0.0011,-0.0005,0.109
0.070919,0.0920,0.0090,-0.0645,0.113
0.074077,0.1088,-0.0020,-0.0947,0.144
0.079423,0.1257,-0.0198,-0.1318,0.183
0.083926,0.1570,-0.0229,-0.1330,0.207
0.088734,0.1408,-0.0328,-0.1438,0.204
0.094036,0.1274,-0.0281,-0.1188,0.176
0.098392,0.1405,-0.0471,-0.0893,0.173
0.104593,0.1205,-0.0325,-0.0530,0.136
0.109753,0.0725,-0.0606,-0.0383,0.102
0.112980,0.0534,-0.0530,0.0047,0.075
0.117735,0.0394,-0.0598,0.0308,0.078
0.136295,0.0232,-0.0644,0.0519,0.086
0.137072,-0.0023,-0.0692,0.0372,0.079
0.137446,-0.0205,-0.0622,0.0227,0.069
0.137846,-0.0456,-0.0482,-0.0154,0.068
0.142176,-0.0634,-0.0651,-0.0485,0.103
0.146680,-0.0551,-0.0294,-0.0884,0.108
0.151606,-0.0612,-0.0058,-0.0971,0.115
0.156355,-0.0651,-0.0224,-0.0868,0.111
0.161516,-0.0785,-0.0363,-0.0909,0.125
0.166327,-0.0896,-0.0145,-0.0735,0.117
0.174151,-0.1032,-0.0118,-0.0278,0.108
0.180442,-0.1383,-0.0163,0.0080,0.139
0.181167,-0.1425,0.0005,0.0222,0.144
0.185522,-0.1444,-0.0019,0.0386,0.150
0.190507,-0.1607,0.0027,0.0549,0.170
0.195375,-0.1294,-0.0096,0.0711,0.148
0.200172,-0.1316,-0.0005,0.0753,0.152
0.206069,-0.1218,-0.0106,0.0794,0.146
0.209997,-0.1024,-0.0017,0.0693,0.124
0.214519,-0.0997,0.0093,0.0759,0.126
0.219575,-0.0875,-0.0012,0.0777,0.117
0.224599,-0.1087,0.0214,0.0889,0.142
0.229411,-0.1180,0.0082,0.0835,0.145
0.234290,-0.1179,0.0092,0.0710,0.138
0.245356,-0.1013,0.0195,0.0776,0.129
0.245984,-0.1278,0.0392,0.0770,0.154
0.248568,-0.0904,0.0300,0.0646,0.115
0.253536,-0.0916,0.0137,0.0927,0.131
0.258657,-0.0669,0.0329,0.0730,0.104
0.263276,-0.0591,0.0446,0.0322,0.081
0.268055,-0.0110,0.0325,0.0083,0.035
0.272883,0.0176,0.0275,0.0131,0.035
0.277745,0.0507,0.0202,0.0108,0.056
0.282875,0.0694,0.0200,-0.0082,0.073
0.287317,0.0975,0.0223,-0.0199,0.102
0.292597,0.0779,0.0481,0.0018,0.092
0.297814,0.1154,0.0453,-0.0076,0.124
0.301972,0.0935,0.0473,-0.0382,0.111
0.306942,0.1169,0.0350,-0.0401,0.128
0.311849,0.1236,0.0442,-0.0492,0.140
0.316774,0.1066,0.0582,-0.0605,0.136
0.321951,0.1065,0.0390,-0.0883,0.144
0.325585,0.1063,0.0320,-0.0827,0.138
0.331085,0.0896,0.0300,-0.0819,0.125
0.335344,0.1204,0.0399,-0.0669,0.143
0.347905,0.1439,0.0238,-0.0568,0.156
0.348798,0.1553,0.0315,-0.0064,0.159
0.350606,0.1596,0.0439,0.0365,0.170
0.355531,0.1829,0.0132,0.0766,0.199
0.363819,0.1823,-0.0152,0.1212,0.219
0.368123,0.2029,-0.0271,0.1393,0.248
