time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002838,0.0595,-0.0567,-0.0069,0.082
0.003329,0.0879,-0.0455,-0.1230,0.158
0.003761,0.0770,-0.0475,-0.1623,0.186
0.009226,0.0912,-0.0508,-0.1468,0.180
0.013194,0.0779,-0.0224,-0.1078,0.135
0.020176,0.0254,-0.0127,-0.0193,0.034
0.023584,-0.0069,0.0446,0.0921,0.103
0.027712,-0.0243,0.0609,0.1978,0.208
0.032728,-0.0131,0.0483,0.2885,0.293
0.038019,-0.0189,0.0186,0.3499,0.351
0.042434,0.0055,-0.0187,0.3967,0.397
0.047076,0.0362,-0.0352,0.4432,0.446
0.052127,0.0325,-0.0382,0.4324,0.435
0.059930,0.0401,-0.0278,0.4075,0.410
0.061652,0.0517,-0.0041,0.3355,0.339
0.066855,0.0556,0.0164,0.2712,0.277
0.075590,0.0664,0.0362,0.1648,0.181
0.076265,0.0724,0.0653,0.0403,0.105
0.081191,0.0833,0.0965,-0.0974,0.160
0.085788,0.0635,0.1255,-0.2032,0.247
0.090812,0.0750,0.1406,-0.3176,0.355
0.095518,0.0866,0.1256,-0.3670,0.397
0.100469,0.0984,0.1094,-0.4066,0.432
0.105381,0.1034,0.0847,-0.4128,0.434
0.110176,0.1061,0.0753,-0.3738,0.396
0.114752,0.0924,0.0809,-0.3115,0.335
0.119647,0.1026,0.0748,-0.2023,0.239
0.124799,0.1081,0.0760,-0.1082,0.171
0.129210,0.1136,0.0677,-0.0244,0.134
0.134665,0.0882,0.0615,0.0373,0.114
0.143620,0.0700,0.0503,0.1033,0.135
0.144069,0.0374,0.0456,0.1522,0.163
0.148925,0.0357,0.0405,0.1842,0.192
0.153989,0.0077,0.0326,0.1803,0.183
0.158523,-0.0015,0.0147,0.1812,0.182
0.163373,0.0128,-0.0223,0.1774,0.179
0.175361,0.0385,-0.0049,0.1452,0.150
0.176027,0.0449,-0.0068,0.1014,0.111
0.177903,0.0463,0.0007,0.0627,0.078
0.182997,0.0309,0.0056,0.0339,0.046
0.187731,0.0346,0.0153,0.0006,0.038
0.192596,0.0406,0.0012,-0.0088,0.042
0.197626,0.0537,-0.0126,-0.0418,0.069
0.202122,0.0525,-0.0142,-0.0650,0.085
0.206994,0.0562,-0.0203,-0.0691,0.091
0.211847,0.0290,-0.0072,-0.0661,0.073
0.217181,0.0497,-0.0153,-0.0417,0.067
0.221388,0.0489,-0.0256,-0.0152,0.057
