time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003327,-0.0380,0.0153,0.0467,0.062
0.003879,-0.0782,0.0234,-0.0908,0.122
0.006656,-0.1129,0.1037,-0.1631,0.224
0.012145,-0.1369,0.1465,-0.2161,0.295
0.016432,-0.1385,0.1521,-0.2212,0.302
0.021247,-0.1035,0.1276,-0.1742,0.239
0.026714,-0.0654,0.1229,-0.1039,0.174
0.036013,-0.0458,0.1140,-0.0177,0.124
0.036508,-0.0233,0.0983,0.0796,0.129
0.043470,-0.0311,0.1066,0.1666,0.200
0.045572,-0.0552,0.1145,0.2600,0.289
0.050764,-0.0530,0.0862,0.3266,0.342
0.055536,-0.0344,0.0671,0.3737,0.381
0.060100,0.0099,0.0450,0.3919,0.395
0.064954,0.0391,0.0012,0.4220,0.424
0.069949,0.0370,-0.0264,0.3831,0.386
0.074691,0.0655,-0.0497,0.3398,0.350
0.079785,0.0936,-0.0093,0.2780,0.293
0.084465,0.0622,0.0184,0.2167,0.226
0.089058,0.0285,0.0645,0.1227,0.142
0.093999,0.0092,0.1030,0.0557,0.117
0.098903,0.0115,0.1391,-0.0488,0.148
0.103694,0.0137,0.1446,-0.1477,0.207
0.108720,0.0090,0.1174,-0.2435,0.270
0.113562,0.0616,0.0557,-0.3030,0.314
0.118227,0.0879,0.0286,-0.3169,0.330
0.126246,0.1285,0.0049,-0.2882,0.316
0.128970,0.1525,-0.0062,-0.2146,0.263
0.132240,0.1363,0.0282,-0.1156,0.181
0.137453,0.0965,0.0598,-0.0103,0.114
0.142485,0.0738,0.0553,0.0870,0.127
0.147340,0.0155,0.0810,0.1670,0.186
0.152069,-0.0045,0.1009,0.2321,0.253
0.158218,-0.0769,0.1222,0.2731,0.309
0.162870,-0.1038,0.1305,0.2806,0.326
0.166624,-0.1331,0.1234,0.2858,0.339
0.171607,-0.1293,0.1224,0.2578,0.313
0.176516,-0.1424,0.1206,0.2064,0.278
0.181422,-0.1580,0.1155,0.1342,0.237
0.186241,-0.1953,0.1360,0.0532,0.244
0.190902,-0.2064,0.1533,-0.0152,0.258
0.195850,-0.2059,0.1795,-0.0996,0.291
0.200966,-0.2340,0.2099,-0.1618,0.354
0.205845,-0.1978,0.2021,-0.2378,0.370
0.210366,-0.1788,0.2229,-0.3060,0.419
0.215458,-0.1553,0.2153,-0.3784,0.462
0.219911,-0.1108,0.1987,-0.4218,0.479
0.225755,-0.0787,0.1994,-0.4316,0.482
0.229875,-0.0352,0.1983,-0.4224,0.468
0.237894,-0.0136,0.1666,-0.4062,0.439
0.240746,0.0265,0.1476,-0.3711,0.400
0.244401,0.0708,0.1005,-0.3387,0.360
0.249119,0.0743,0.0730,-0.2806,0.299
0.253889,0.0729,0.0434,-0.2276,0.243
0.259434,0.0597,0.0355,-0.1846,0.197
0.263768,0.0490,0.0157,-0.1348,0.144
0.268350,-0.0065,0.0172,-0.0948,0.097
0.273453,-0.0257,0.0089,-0.0766,0.081
0.278236,-0.0420,0.0028,-0.0490,0.065
0.283545,-0.0318,-0.0152,-0.0477,0.059
0.288256,-0.0400,-0.0191,-0.0416,0.061
0.292284,-0.0499,-0.0207,-0.0713,0.089
0.297514,-0.0210,-0.0177,-0.0912,0.095
0.302508,0.0011,0.0090,-0.1275,0.128
0.307317,0.0546,0.0071,-0.1707,0.179
0.312191,0.1155,0.0172,-0.1899,0.223
0.317027,0.1481,0.0300,-0.2351,0.279
0.321873,0.1883,0.0647,-0.2990,0.359
0.327436,0.2218,0.0759,-0.3577,0.428
0.331603,0.2534,0.0974,-0.3995,0.483
0.336530,0.2621,0.0982,-0.4386,0.520
0.340978,0.2858,0.1072,-0.4563,0.549
0.346219,0.2554,0.1313,-0.4550,0.538
0.351295,0.2211,0.1536,-0.4158,0.495
0.355133,0.1944,0.1883,-0.3510,0.443
0.360976,0.1395,0.2018,-0.3033,0.390
0.365434,0.1227,0.2204,-0.2585,0.361
0.370450,0.1054,0.2059,-0.2093,0.312
0.375385,0.1018,0.2156,-0.1866,0.303
0.380417,0.1046,0.1900,-0.1642,0.272
0.384815,0.1065,0.2052,-0.1632,0.283
0.389975,0.0982,0.2183,-0.1457,0.280
0.394582,0.0823,0.2317,-0.1473,0.287
0.399747,0.0733,0.2479,-0.1324,0.290
0.404439,0.0591,0.2596,-0.0844,0.279
0.409198,0.0448,0.2575,-0.0510,0.266
0.414062,0.0230,0.2772,0.0034,0.278
0.419423,0.0320,0.2850,0.0739,0.296
